# ICDDR paper-aligned synthetic trace (formula-consistent template)
# Seed: 303
# Generated: 2026-02-14T10:52:44.250647Z
# Scenario: Manhattan | Duration: 3600s | k=3 | w_th=0.2 | λ=0.1 | V2V range=500m | Max hops=4 | RSU interval=1000m
# NOTE: Values are synthetically generated but constrained by the paper’s equations and parameter ranges; replace with real simulator outputs for publication.

Time(s),RSU_ID,Vehicle_ID,RoadSegment,SegmentLength_m,Nv_vehicles,Capacity_C,FreeFlowSpeed_vbar_mps,AvgSpeed_v20_mps,Alpha,Density_D,CongestionScore_CD,Congested(0/1),TTL,CAM_ID,Ms_slope,Mr_slope,Theta_deg,DeltaC,Relevance_R,Urgency_U,TimeFactor_T,rho,gamma,Dnorm,SuitabilityIndex_Si,ForwarderSelected(0/1),w_old,w_new,w_delta_ratio,WeightUpdateTriggered(0/1),RerouteTriggered(0/1),PathCost_1,PathCost_2,PathCost_3,SelectedPathIndex(1..3),PacketsTx_cum,PacketsLost_cum,PacketCollisions_cum,AvgTravelTime_snapshot_s,LostTime_snapshot_s,CO2_cum_g
11,1,327,v52-v61,380,20,54,17.098,10.42,0.609,0.37,0.372,0,2,,-0.161,1.513,65.683,6.461,0.365,0.644,0.635,0.638,0.362,0.94,0.573,0,17.7879,41.7368,1.3464,1,0,298.175,325.432,324.814,0,639,18,58,547.497,211.376,112.653
12,1,316,v12-v19,460,27,66,17.308,10.476,0.605,0.409,0.408,0,3,,0.538,0.614,3.272,0.967,1.0,0.654,0.521,0.608,0.392,0.778,0.913,0,33.1566,52.7706,0.5916,1,0,311.872,326.01,350.831,0,714,19,66,581.932,239.649,124.136
13,1,127,v31-v37,380,18,54,16.574,11.177,0.674,0.333,0.333,0,2,,0.045,-1.703,62.162,5.36,0.345,0.567,0.687,0.621,0.379,0.877,0.547,0,30.8484,40.7591,0.3213,1,0,279.735,296.278,348.981,0,781,21,71,523.112,198.788,134.323
14,1,194,v12-v19,500,28,71,18.135,10.979,0.605,0.394,0.394,0,2,,-0.683,-0.232,21.26,4.041,0.118,0.654,0.667,0.642,0.358,0.071,0.101,0,52.7706,53.6064,0.0158,0,0,297.075,321.859,334.028,0,838,22,76,580.787,227.466,145.115
15,1,357,v70-v78,300,15,43,15.527,10.366,0.668,0.349,0.347,0,2,,0.508,0.141,18.88,8.907,0.105,0.65,0.647,0.65,0.35,0.385,0.203,0,31.6225,35.1533,0.1117,0,0,296.809,332.918,362.462,0,904,24,82,519.276,206.362,156.369
16,1,372,v37-v45,340,19,49,18.044,10.407,0.577,0.388,0.391,0,2,,0.803,0.36,18.983,4.089,0.105,0.662,0.53,0.621,0.379,0.929,0.418,0,14.1439,36.2894,1.5657,1,0,303.49,321.429,354.137,0,970,26,89,561.171,220.175,167.807
17,1,252,v70-v78,460,21,66,16.033,11.157,0.696,0.318,0.317,0,2,,0.635,-1.626,89.193,6.195,0.996,0.621,0.511,0.617,0.383,0.404,0.769,0,31.6225,49.8548,0.5766,1,0,253.01,271.079,321.791,0,1028,26,94,531.085,210.698,177.927
18,1,227,v45-v52,260,12,37,18.558,12.537,0.676,0.324,0.324,0,2,,1.866,0.887,20.237,4.363,0.612,0.638,0.606,0.643,0.357,0.746,0.66,0,22.6508,24.5721,0.0848,0,0,257.1,280.748,315.639,0,1079,28,99,522.378,197.926,186.429
19,1,369,v61-v70,220,10,31,18.64,12.623,0.677,0.323,0.323,0,2,,-1.76,-1.997,3.006,1.63,1.0,0.574,0.583,0.607,0.393,0.962,0.985,0,43.014,20.645,0.52,1,0,281.096,309.309,341.322,0,1133,29,103,525.354,223.222,194.817
20,1,383,v19-v24,180,9,26,17.0,10.669,0.628,0.346,0.349,0,2,,0.298,-0.565,46.057,0.214,0.256,0.569,0.558,0.592,0.408,0.233,0.247,0,23.0118,19.1873,0.1662,0,0,284.212,318.953,352.603,0,1193,31,108,562.402,227.591,205.691
21,1,203,v70-v78,180,10,26,16.969,10.585,0.624,0.385,0.384,0,2,,0.737,-0.912,78.768,2.267,0.938,0.687,0.57,0.642,0.358,0.513,0.786,0,49.8548,20.3363,0.5921,1,0,276.87,286.888,325.291,0,1261,32,114,574.738,231.183,216.897
22,1,294,v45-v52,340,16,49,17.405,12.106,0.696,0.327,0.324,0,2,,-1.203,1.46,74.144,7.799,0.912,0.629,0.655,0.648,0.352,0.54,0.781,0,22.6508,34.3745,0.5176,1,0,270.514,309.978,329.816,0,1317,33,119,553.983,208.378,225.929
23,1,209,v61-v70,260,15,37,16.816,10.368,0.617,0.405,0.403,0,3,,0.049,-0.748,39.592,0.393,0.22,0.633,0.585,0.612,0.388,0.688,0.402,0,20.645,30.5397,0.4793,1,0,296.141,311.583,331.097,0,1393,35,126,546.756,214.674,237.519
24,1,268,v31-v37,300,18,43,17.248,9.792,0.568,0.419,0.42,0,3,,-0.34,-0.147,10.414,6.022,0.558,0.652,0.631,0.627,0.373,0.992,0.72,0,40.7591,35.0023,0.1412,0,0,287.751,314.173,316.118,0,1466,36,134,597.529,239.635,249.881
25,1,291,v24-v31,300,16,43,19.284,11.705,0.607,0.372,0.374,0,2,,-0.499,0.574,56.373,8.772,0.813,0.65,0.561,0.625,0.375,0.3,0.621,0,23.8825,29.2885,0.2264,1,0,281.456,295.347,308.994,0,1534,38,140,547.566,214.972,259.667
26,1,217,v52-v61,180,11,26,16.478,9.418,0.572,0.423,0.424,0,3,,0.619,-1.314,84.49,2.152,0.469,0.66,0.697,0.642,0.358,0.733,0.564,0,41.7368,22.1216,0.47,1,0,287.135,300.079,347.015,0,1603,39,147,604.914,262.998,272.505
27,1,193,v19-v24,380,18,54,16.192,11.119,0.687,0.333,0.331,0,2,,-1.261,1.56,71.079,5.962,0.395,0.602,0.688,0.639,0.361,0.506,0.435,0,23.0118,41.7205,0.813,1,0,254.283,276.646,316.368,0,1664,41,151,535.552,224.074,282.762
28,1,236,v78-v85,500,30,71,16.038,9.047,0.564,0.423,0.424,0,3,,1.531,1.1,9.134,7.493,1.0,0.695,0.618,0.645,0.355,0.794,0.927,0,31.1691,63.0888,1.0241,1,0,316.422,341.23,368.025,0,1738,42,159,596.601,247.037,296.041
29,1,194,v37-v45,380,21,54,14.647,9.004,0.615,0.389,0.389,0,2,,1.204,1.507,6.14,0.26,1.0,0.598,0.607,0.604,0.396,0.861,0.945,0,36.2894,50.0452,0.3791,1,0,294.395,330.215,347.066,0,1808,44,165,539.822,208.873,309.17
30,1,356,v12-v19,300,18,43,16.118,9.725,0.603,0.419,0.416,0,3,,-0.359,0.539,48.096,7.192,0.267,0.641,0.515,0.598,0.402,0.367,0.307,0,52.7706,37.4564,0.2902,1,0,294.735,322.369,332.734,0,1873,45,172,570.522,228.472,321.612
31,1,152,v24-v31,420,26,60,15.775,8.881,0.563,0.433,0.434,0,3,,0.608,-1.757,88.356,2.132,0.491,0.703,0.54,0.629,0.371,0.679,0.561,0,29.2885,54.6978,0.8676,1,0,315.603,335.607,376.926,0,1939,45,179,610.143,242.516,335.155
32,1,155,v70-v78,460,24,66,16.999,10.764,0.633,0.364,0.364,0,2,,1.185,0.831,10.108,1.284,0.556,0.586,0.542,0.592,0.408,0.315,0.458,0,20.3363,50.3198,1.4744,1,0,297.549,308.65,330.432,0,2000,45,184,538.962,229.027,346.02
33,1,266,v78-v85,380,23,54,15.911,8.465,0.532,0.426,0.43,0,3,,1.665,1.373,5.08,5.955,1.0,0.683,0.674,0.649,0.351,0.091,0.681,0,63.0888,48.5602,0.2303,1,0,286.201,314.171,322.527,0,2062,46,190,591.266,254.881,360.017
34,1,278,v12-v19,220,11,31,18.466,11.778,0.638,0.355,0.356,0,2,,-1.869,-0.151,53.241,0.114,0.796,0.581,0.684,0.621,0.379,0.824,0.807,0,37.4564,21.8688,0.4162,1,0,286.264,308.552,346.663,0,2119,46,195,560.086,217.602,369.612
35,1,271,v70-v78,300,17,43,19.028,11.55,0.607,0.395,0.395,0,2,,-1.414,-1.64,3.905,5.655,1.0,0.609,0.642,0.614,0.386,0.363,0.755,0,50.3198,30.6968,0.39,1,0,281.268,312.17,337.768,0,2177,48,201,574.827,239.026,379.724
36,1,322,v12-v19,460,25,66,17.503,10.281,0.587,0.379,0.382,0,2,,-1.58,0.621,89.519,4.552,0.497,0.598,0.554,0.596,0.404,0.652,0.56,0,21.8688,49.9634,1.2847,1,0,298.159,318.246,329.725,0,2234,50,207,577.744,244.336,391.26
37,1,342,v70-v78,220,12,31,15.881,9.44,0.594,0.387,0.389,0,2,,1.845,1.9,0.696,7.64,1.0,0.613,0.512,0.593,0.407,0.393,0.753,0,30.6968,26.6536,0.1317,0,0,297.041,329.467,325.421,0,2296,52,212,557.507,235.08,403.855
38,1,154,v24-v31,500,31,71,16.369,9.192,0.562,0.437,0.437,0,3,,0.345,1.547,38.099,4.994,0.212,0.715,0.616,0.65,0.35,0.536,0.325,0,54.6978,63.0418,0.1525,0,0,314.968,343.74,342.383,0,2367,54,220,609.274,257.552,417.044
39,1,325,v31-v37,220,12,31,17.131,10.363,0.605,0.387,0.388,0,2,,-1.08,0.672,81.095,4.759,0.951,0.618,0.64,0.621,0.379,0.879,0.923,0,40.7591,24.7085,0.3938,1,0,294.309,319.028,353.427,0,2435,55,226,560.402,237.201,428.531
40,1,267,v70-v78,300,19,43,16.453,8.483,0.516,0.442,0.446,0,3,,0.629,1.195,17.924,3.451,0.6,0.696,0.551,0.626,0.374,0.355,0.508,0,30.6968,37.9068,0.2349,1,0,312.241,323.555,353.063,0,2501,56,233,610.372,258.021,442.602
41,1,144,v24-v31,420,22,60,15.209,9.029,0.594,0.367,0.371,0,2,,-1.385,0.896,83.983,1.916,0.967,0.607,0.595,0.612,0.388,0.122,0.639,0,54.6978,51.5789,0.057,0,0,301.113,320.291,338.128,0,2566,58,238,558.802,211.563,455.567
42,1,193,v12-v19,340,22,49,17.664,9.706,0.549,0.449,0.449,0,3,,-0.239,1.631,71.919,5.949,0.4,0.668,0.686,0.637,0.363,0.47,0.425,0,49.9634,40.4126,0.1912,0,0,319.956,356.558,387.903,0,2646,59,247,612.374,256.04,468.213
43,1,289,v31-v37,420,26,60,15.915,9.301,0.584,0.433,0.432,0,3,,-1.649,-0.706,23.562,0.218,0.631,0.675,0.545,0.616,0.384,0.583,0.612,0,24.7085,54.2156,1.1942,1,0,318.947,346.265,367.639,0,2715,61,255,576.43,246.292,481.252
44,1,219,v24-v31,300,17,43,20.498,11.814,0.576,0.395,0.398,0,2,,0.906,0.283,26.406,2.191,0.647,0.605,0.544,0.593,0.407,0.548,0.607,0,54.6978,28.496,0.479,1,0,302.622,318.53,340.291,0,2774,63,260,581.781,242.207,491.047
45,1,276,v37-v45,260,16,37,17.207,9.131,0.531,0.432,0.436,0,3,,1.898,0.369,41.964,0.235,0.233,0.71,0.632,0.652,0.348,0.408,0.294,0,50.0452,31.0035,0.3805,1,0,301.425,315.936,329.845,0,2838,64,267,604.814,242.843,504.285
46,1,200,v70-v78,420,25,60,16.083,8.763,0.545,0.417,0.421,0,3,,0.37,-1.969,83.391,4.784,0.963,0.679,0.505,0.616,0.384,0.548,0.804,0,37.9068,52.4108,0.3826,1,0,309.752,333.975,336.728,0,2915,65,275,575.545,246.546,517.87
47,1,166,v31-v37,220,12,31,16.874,10.106,0.599,0.387,0.388,0,2,,-0.6,-1.95,31.877,0.205,0.677,0.616,0.635,0.619,0.381,0.435,0.585,0,54.2156,25.0847,0.5373,1,0,270.066,306.125,337.701,0,2989,66,281,562.22,218.556,529.665
48,1,160,v78-v85,500,31,71,16.499,9.44,0.572,0.437,0.436,0,3,,-1.103,0.117,54.459,1.553,0.803,0.628,0.667,0.617,0.383,0.746,0.781,0,48.5602,62.5436,0.288,1,0,297.794,314.871,346.389,0,3049,67,286,573.903,243.992,542.556
49,1,255,v19-v24,180,11,26,18.054,10.212,0.566,0.423,0.424,0,3,,-0.159,-1.211,41.396,5.126,0.73,0.663,0.601,0.625,0.375,0.745,0.736,0,41.7205,20.1906,0.5161,1,0,280.106,294.265,349.739,0,3116,69,293,601.329,239.444,554.44
50,1,305,v31-v37,500,28,71,17.533,10.724,0.612,0.394,0.394,0,2,,-0.516,-1.173,22.244,6.617,0.124,0.668,0.65,0.645,0.355,0.254,0.17,0,25.0847,55.4469,1.2104,1,0,272.402,301.884,338.088,0,3182,69,299,588.285,250.43,565.537
51,1,173,v52-v61,180,11,26,15.918,8.809,0.553,0.423,0.425,0,3,,1.613,-0.374,78.709,6.291,0.937,0.666,0.682,0.642,0.358,0.817,0.894,0,22.1216,22.9009,0.0352,0,0,286.265,314.65,313.723,0,3255,71,306,574.871,234.442,579.105
52,1,312,v24-v31,180,12,26,16.538,8.833,0.534,0.462,0.462,0,3,,1.451,-1.161,75.315,6.528,0.418,0.733,0.683,0.664,0.336,0.504,0.447,0,28.496,23.249,0.1841,0,0,297.63,319.525,325.21,0,3324,72,313,610.738,248.328,592.874
53,1,218,v52-v61,340,19,49,16.576,10.122,0.611,0.388,0.388,0,2,,-1.457,0.426,78.602,4.094,0.937,0.677,0.506,0.624,0.376,0.173,0.649,0,22.1216,39.5014,0.7857,1,0,276.024,308.41,314.072,0,3388,73,319,566.072,238.531,604.654
54,1,281,v31-v37,500,30,71,18.046,10.422,0.578,0.423,0.423,0,3,,-1.355,1.59,68.604,8.546,0.881,0.691,0.65,0.649,0.351,0.291,0.674,0,55.4469,56.0675,0.0112,0,0,305.922,317.937,332.726,0,3446,74,325,573.562,249.47,616.283
55,1,325,v45-v52,220,13,31,17.201,10.214,0.594,0.419,0.418,0,3,,-1.402,0.293,70.812,0.818,0.893,0.656,0.549,0.612,0.388,0.226,0.634,0,34.3745,25.767,0.2504,1,0,279.854,317.062,347.291,0,3505,75,330,561.167,234.453,628.142
56,1,266,v12-v19,460,27,66,17.821,9.845,0.552,0.409,0.413,0,3,,-1.373,1.665,67.06,6.278,0.873,0.699,0.663,0.66,0.34,0.589,0.776,0,49.9634,51.2525,0.0258,0,0,279.597,295.232,315.589,0,3578,76,336,568.247,230.886,640.383
57,1,119,v45-v52,180,12,26,18.351,9.464,0.516,0.462,0.464,0,3,,0.061,1.067,43.348,1.069,0.741,0.677,0.542,0.609,0.391,0.082,0.483,0,25.767,20.9523,0.1869,0,0,306.613,330.851,357.802,0,3648,78,343,616.688,271.186,653.395
58,1,114,v37-v45,180,10,26,17.564,10.94,0.623,0.385,0.384,0,2,,1.351,1.943,9.28,2.731,1.0,0.607,0.512,0.591,0.409,0.365,0.74,0,31.0035,19.6471,0.3663,1,0,307.095,320.605,360.347,0,3714,78,349,565.436,234.189,664.175
59,1,391,v12-v19,340,20,49,16.05,9.314,0.58,0.408,0.409,0,3,,-1.504,-1.694,3.062,3.245,1.0,0.706,0.696,0.67,0.33,0.843,0.948,0,49.9634,42.0061,0.1593,0,0,284.162,300.253,342.384,0,3787,80,356,550.497,233.33,677.048
60,1,104,v78-v85,420,25,60,15.906,9.671,0.608,0.417,0.414,0,3,,-1.589,-0.953,14.2,3.23,0.079,0.689,0.644,0.648,0.352,0.111,0.09,0,62.5436,52.9934,0.1527,0,0,291.863,318.375,317.533,0,3853,81,362,566.646,227.172,689.542
61,1,335,v19-v24,380,23,54,15.262,8.041,0.527,0.426,0.431,0,3,,-0.909,-1.002,2.791,1.368,1.0,0.633,0.568,0.602,0.398,0.198,0.681,0,20.1906,50.6262,1.5074,1,0,316.288,354.673,374.484,0,3929,82,370,561.351,239.688,704.048
62,1,292,v31-v37,460,29,66,16.22,8.602,0.53,0.439,0.442,0,3,,-0.197,-0.861,29.555,6.893,0.664,0.666,0.63,0.627,0.373,0.653,0.66,0,55.4469,58.7564,0.0597,0,0,321.166,341.627,361.048,0,3989,83,377,588.558,258.617,717.962
63,1,277,v19-v24,460,29,66,15.017,7.858,0.523,0.439,0.443,0,3,,-1.59,-0.76,20.603,5.506,0.114,0.638,0.55,0.597,0.403,0.455,0.252,0,50.6262,63.4647,0.2536,1,0,301.85,317.75,338.325,0,4049,85,384,590.483,242.578,732.769
64,1,102,v24-v31,220,13,31,16.613,9.669,0.582,0.419,0.419,0,3,,0.443,-0.724,59.771,0.219,0.832,0.705,0.508,0.628,0.372,0.087,0.555,0,28.496,26.6783,0.0638,0,0,285.136,315.115,330.297,0,4111,85,389,590.811,239.394,745.282
65,1,357,v37-v45,380,26,54,15.013,7.535,0.502,0.481,0.483,0,3,,-1.285,1.176,78.258,3.308,0.935,0.718,0.692,0.653,0.347,0.491,0.781,0,19.6471,55.5534,1.8276,1,0,317.464,338.778,358.391,0,4190,86,397,602.59,242.756,760.729
66,1,177,v45-v52,340,24,49,17.083,7.816,0.458,0.49,0.495,0,3,,1.393,-1.502,69.32,6.376,0.885,0.699,0.567,0.616,0.384,0.472,0.726,0,25.767,44.174,0.7144,1,0,316.486,341.036,368.063,0,4264,88,406,598.975,254.288,775.889
67,1,373,v31-v37,300,17,43,15.336,9.482,0.618,0.395,0.394,0,2,,0.55,-0.079,33.33,9.603,0.685,0.643,0.657,0.635,0.365,0.649,0.672,0,55.4469,38.0867,0.3131,1,0,277.482,303.157,325.428,0,4336,90,412,564.858,228.421,788.482
68,1,194,v78-v85,260,15,37,17.752,10.102,0.569,0.405,0.408,0,3,,-1.519,0.077,61.06,7.365,0.839,0.651,0.694,0.642,0.358,0.313,0.651,0,62.5436,28.9281,0.5375,1,0,292.474,315.542,331.485,0,4405,92,418,572.001,227.585,800.392
69,1,180,v52-v61,340,19,49,15.871,9.695,0.611,0.388,0.388,0,2,,-0.722,-0.356,16.211,5.902,0.09,0.596,0.627,0.607,0.393,0.618,0.298,0,39.5014,41.258,0.0445,0,0,290.195,325.982,358.168,0,4462,93,423,584.729,226.898,812.684
70,1,116,v19-v24,460,29,66,15.947,8.549,0.536,0.439,0.442,0,3,,0.802,1.876,23.208,6.048,0.629,0.662,0.673,0.634,0.366,0.397,0.544,0,63.4647,59.7638,0.0583,0,0,300.704,324.518,356.693,0,4532,95,430,593.35,244.242,826.662
71,1,109,v52-v61,500,34,71,16.585,8.436,0.509,0.479,0.48,0,3,,-1.481,0.736,87.673,4.916,0.487,0.76,0.682,0.673,0.327,0.076,0.353,0,39.5014,65.9366,0.6692,1,0,299.164,335.587,362.909,0,4607,97,438,589.288,242.313,841.012
72,1,247,v31-v37,220,14,31,15.854,8.01,0.505,0.452,0.456,0,3,,0.869,-1.318,86.173,5.726,0.979,0.714,0.533,0.628,0.372,0.924,0.958,0,38.0867,29.2407,0.2323,1,0,302.494,341.891,366.348,0,4676,98,446,605.383,239.543,855.71
73,1,228,v52-v61,460,32,66,16.054,7.724,0.481,0.485,0.488,0,3,,-1.604,-1.233,7.097,4.88,1.0,0.727,0.599,0.638,0.362,0.298,0.745,0,65.9366,63.174,0.0419,0,0,332.763,346.047,380.531,0,4753,99,455,597.702,243.183,870.951
74,1,150,v61-v70,380,22,54,17.019,9.437,0.555,0.407,0.411,0,3,,-1.009,1.463,79.087,1.537,0.439,0.673,0.666,0.648,0.352,0.833,0.578,0,30.5397,44.228,0.4482,1,0,284.378,304.048,339.319,0,4828,101,463,581.106,243.965,883.67
75,1,303,v12-v19,380,24,54,16.735,9.13,0.546,0.444,0.445,0,3,,-0.629,-0.17,22.535,0.899,0.125,0.705,0.665,0.652,0.348,0.126,0.125,0,49.9634,47.3757,0.0518,0,0,314.732,336.692,344.901,0,4890,103,470,601.731,257.919,896.981
76,1,144,v52-v61,340,22,49,14.584,7.894,0.541,0.449,0.45,0,3,,-1.783,-0.219,48.369,2.366,0.269,0.718,0.564,0.637,0.363,0.431,0.328,0,65.9366,48.9486,0.2576,1,0,313.599,335.173,374.698,0,4968,105,478,583.053,256.351,911.802
77,1,347,v70-v78,220,16,31,17.685,8.622,0.488,0.516,0.516,0,3,,1.147,0.275,33.554,5.096,0.686,0.707,0.624,0.624,0.376,0.135,0.479,0,52.4108,28.5949,0.4544,1,0,330.002,343.952,356.035,0,5043,106,486,626.352,276.775,926.153
78,1,276,v37-v45,340,23,49,15.943,8.729,0.548,0.469,0.468,0,3,,-1.489,0.962,79.972,7.014,0.444,0.66,0.557,0.6,0.4,0.474,0.456,0,55.5534,46.0455,0.1711,0,0,294.284,328.256,339.101,0,5110,108,494,582.692,241.291,940.095
79,1,138,v31-v37,260,16,37,16.976,8.814,0.519,0.432,0.437,0,3,,1.593,1.977,5.285,6.461,1.0,0.701,0.526,0.626,0.374,0.17,0.69,0,29.2407,31.4254,0.0747,0,0,289.387,316.449,343.998,0,5178,110,500,609.682,249.665,953.712
80,1,121,v52-v61,500,36,71,16.107,7.349,0.456,0.507,0.511,0,3,,-0.473,1.141,74.078,5.862,0.912,0.728,0.52,0.616,0.384,0.803,0.87,0,48.9486,70.5018,0.4403,1,0,320.282,347.64,363.407,0,5264,111,509,634.427,281.023,969.536
81,1,180,v61-v70,380,24,54,18.011,10.253,0.569,0.444,0.443,0,3,,0.542,0.479,2.836,1.567,1.0,0.727,0.641,0.659,0.341,0.506,0.831,0,44.228,44.0199,0.0047,0,0,313.23,325.306,373.69,0,5338,111,516,579.842,242.55,981.499
82,1,236,v12-v19,220,13,31,15.746,9.448,0.6,0.419,0.417,0,3,,-0.457,-1.123,23.777,9.23,0.632,0.648,0.534,0.605,0.395,0.778,0.69,0,49.9634,28.1474,0.4366,1,0,303.551,314.158,337.018,0,5415,112,524,587.814,227.845,994.278
83,1,222,v24-v31,340,21,49,18.321,9.901,0.54,0.429,0.432,0,3,,-0.956,1.261,84.695,4.929,0.971,0.652,0.574,0.612,0.388,0.465,0.775,0,28.496,37.8741,0.3291,1,0,299.26,324.907,367.682,0,5475,114,530,588.41,231.624,1006.568
84,1,216,v45-v52,180,11,26,17.966,9.533,0.531,0.423,0.428,0,3,,-0.72,-0.298,19.169,2.961,0.606,0.624,0.569,0.599,0.401,0.803,0.685,0,44.174,20.2903,0.5407,1,0,308.3,334.11,347.921,0,5534,115,536,571.741,228.322,1019.267
85,1,178,v12-v19,220,15,31,17.072,8.408,0.493,0.484,0.486,0,3,,1.591,1.318,5.033,0.127,1.0,0.689,0.504,0.6,0.4,0.636,0.855,0,28.1474,28.3754,0.0081,0,0,314.592,337.538,341.805,0,5614,117,545,615.47,257.325,1033.68
86,1,164,v45-v52,500,35,71,15.963,7.803,0.489,0.493,0.495,0,3,,1.972,0.911,20.774,5.325,0.615,0.692,0.52,0.602,0.398,0.795,0.687,0,20.2903,69.8153,2.4408,1,0,303.338,324.112,364.547,0,5681,118,553,641.116,266.797,1048.874
87,1,199,v78-v85,340,23,49,13.578,6.365,0.469,0.469,0.476,0,3,,1.137,0.006,48.334,0.342,0.769,0.669,0.568,0.608,0.392,0.292,0.582,0,28.9281,54.0652,0.869,1,0,315.876,351.916,345.324,0,5750,119,561,602.98,264.361,1065.652
88,1,263,v24-v31,180,11,26,17.664,9.528,0.539,0.423,0.427,0,3,,-1.849,0.165,70.972,1.221,0.894,0.656,0.632,0.628,0.372,0.411,0.714,0,37.8741,20.6371,0.4551,1,0,310.745,324.692,364.168,0,5828,120,569,567.459,228.558,1078.357
89,1,129,v24-v31,340,25,49,17.1,8.385,0.49,0.51,0.51,0,3,,0.843,-0.233,53.266,7.437,0.796,0.774,0.599,0.654,0.346,0.273,0.615,0,20.6371,45.3478,1.1974,1,0,321.391,351.494,379.075,0,5903,121,579,627.145,276.231,1092.956
90,1,396,v12-v19,300,19,43,17.344,9.605,0.554,0.442,0.442,0,3,,-0.361,-0.794,18.618,5.928,0.603,0.702,0.545,0.627,0.373,0.466,0.552,0,28.1474,35.96,0.2776,1,0,291.092,314.588,330.321,0,5976,122,587,585.167,251.146,1105.681
91,1,305,v70-v78,180,13,26,18.601,8.304,0.446,0.5,0.505,0,3,,-1.437,0.161,64.286,4.499,0.357,0.72,0.601,0.63,0.37,0.488,0.405,0,28.5949,21.7735,0.2386,1,0,333.811,344.901,399.774,0,6056,123,596,641.964,267.816,1120.316
