# ICDDR Delhi Scenario Trace (Formula-Aligned Synthetic Dataset)
# Seed=504 | Duration=3600s | RSU_Distance=800m | k=3 | w_th=0.2 | λ=0.1
# Generated=2026-02-14T11:03:25.433433Z

Time(s),RSU_ID,Vehicle_ID,RoadSegment,SegmentLength_m,Nv_vehicles,Capacity_C,FreeFlowSpeed_vbar_mps,AvgSpeed_v20_mps,Alpha,Density_D,CongestionScore_CD,Congested(0/1),TTL,Relevance_R,rho,gamma,SuitabilityIndex_Si,w_old,w_new,w_delta_ratio,WeightUpdateTriggered(0/1),RerouteTriggered(0/1),PathCost_1,PathCost_2,PathCost_3,PacketsTx_cum,PacketsLost_cum,PacketCollisions_cum,AvgTravelTime_snapshot_s,LostTime_snapshot_s,CO2_cum_g
62,1,1054,D47-58,220,17,31,12.605,5.332,0.423,0.548,0.551,0,3,0.308,0.677,0.323,0.314,41.6528,41.8431,0.0046,0,0,350.467,372.995,392.045,4896,0,409,719.494,334.081,999.761
63,1,1023,D47-58,460,31,66,15.318,7.397,0.483,0.47,0.474,0,3,0.31,0.706,0.294,0.374,41.6528,64.8634,0.5572,1,0,348.035,377.158,399.977,4977,0,416,686.876,310.861,1016.364
64,1,1227,D69-77,420,26,60,16.609,8.478,0.51,0.433,0.439,0,3,0.05,0.688,0.312,0.182,40.2265,51.9522,0.2915,1,0,304.241,343.973,362.171,5055,0,422,680.777,303.272,1031.342
65,1,1313,D18-26,220,16,31,14.188,5.691,0.401,0.516,0.524,0,3,0.455,0.688,0.312,0.5,33.1627,35.6422,0.0748,0,0,352.309,394.706,406.293,5141,0,430,720.934,329.746,1050.441
66,1,1217,D18-26,220,17,31,13.943,5.769,0.414,0.548,0.552,0,3,0.283,0.687,0.313,0.363,33.1627,37.8302,0.1407,0,0,381.822,415.737,424.542,5230,0,439,722.123,335.001,1069.631
67,1,1316,D47-58,260,17,37,12.13,6.136,0.506,0.459,0.463,0,3,0.491,0.701,0.299,0.516,64.8634,45.6577,0.2961,1,0,365.06,408.119,418.233,5310,0,446,680.208,306.992,1087.81
68,1,1150,D86-94,220,15,31,14.389,6.261,0.435,0.484,0.492,0,3,0.089,0.68,0.32,0.38,65.5286,33.6655,0.4862,1,0,321.89,369.813,373.638,5393,0,454,718.286,323.981,1105.975
69,1,1122,D77-86,380,24,54,15.601,7.578,0.486,0.444,0.451,0,3,0.294,0.656,0.344,0.351,59.4347,50.8212,0.1449,0,0,326.671,369.773,382.876,5472,0,461,674.699,302.811,1122.191
70,1,1251,D77-86,380,30,54,13.028,4.772,0.366,0.556,0.563,0,3,0.282,0.679,0.321,0.344,59.4347,70.5771,0.1875,0,0,339.916,368.71,404.78,5562,0,471,766.177,351.495,1142.72
71,1,1034,D47-58,340,25,49,13.996,6.478,0.463,0.51,0.513,0,3,0.11,0.687,0.313,0.151,45.6577,55.4062,0.2135,1,0,355.569,386.01,432.731,5648,0,479,711.161,325.437,1160.76
72,1,1047,D10-18,300,23,43,11.886,4.989,0.42,0.535,0.539,0,3,0.099,0.67,0.33,0.252,56.9112,59.4625,0.0448,0,0,358.663,405.946,434.882,5736,0,488,724.037,333.646,1180.883
73,1,1201,D69-77,420,28,60,15.685,8.022,0.511,0.467,0.469,0,3,0.272,0.677,0.323,0.288,51.9522,57.6,0.1087,0,0,335.996,360.917,379.45,5817,0,495,724.017,323.406,1196.654
74,1,1002,D26-35,220,15,31,12.601,6.208,0.493,0.484,0.486,0,3,0.042,0.654,0.346,0.313,58.7669,38.4438,0.3458,1,0,364.224,392.14,402.482,5900,0,503,716.336,323.298,1214.887
75,1,1103,D18-26,460,32,66,11.989,6.078,0.507,0.485,0.486,0,3,0.441,0.676,0.324,0.496,33.1627,84.5924,1.5508,1,0,367.162,414.918,432.39,5983,0,511,712.132,321.973,1233.294
76,1,1085,D77-86,420,27,60,14.18,7.106,0.501,0.45,0.455,0,3,0.105,0.719,0.281,0.265,59.4347,62.2733,0.0478,0,0,320.114,359.653,371.69,6063,0,518,665.177,300.312,1250.156
77,1,1344,D94-105,300,22,43,13.929,6.407,0.46,0.512,0.514,0,3,0.264,0.676,0.324,0.431,34.5696,49.2138,0.4236,1,0,360.991,383.028,403.445,6149,0,526,735.125,334.038,1268.297
78,1,1229,D18-26,380,29,54,14.697,6.012,0.409,0.537,0.542,0,3,0.015,0.717,0.283,0.136,84.5924,61.0815,0.2779,1,0,388.426,436.765,445.841,6237,0,535,748.671,342.591,1287.104
79,1,1207,D35-47,300,21,43,12.661,5.574,0.44,0.488,0.496,0,3,0.414,0.672,0.328,0.559,57.5048,52.4894,0.0872,0,0,340.04,382.814,385.175,6320,0,543,737.36,331.332,1306.187
80,1,1347,D58-69,300,20,43,15.277,7.758,0.508,0.465,0.468,0,3,0.098,0.671,0.329,0.229,40.1057,42.1519,0.051,0,0,342.999,390.956,386.179,6401,0,550,703.459,315.978,1322.293
81,1,1258,D86-94,220,16,31,15.43,6.365,0.412,0.516,0.523,0,3,0.163,0.703,0.297,0.287,33.6655,32.7734,0.0265,0,0,366.724,387.94,446.247,6487,0,558,729.301,332.675,1340.516
82,1,1141,D10-18,380,25,54,15.057,7.029,0.467,0.463,0.47,0,3,0.441,0.71,0.29,0.472,56.9112,54.0137,0.0509,0,0,324.626,356.194,368.202,6568,0,565,713.413,319.139,1357.557
83,1,1111,D18-26,220,15,31,14.896,7.122,0.478,0.484,0.488,0,3,0.344,0.674,0.326,0.502,61.0815,32.5196,0.4676,1,0,339.584,377.336,371.273,6651,0,573,727.41,327.174,1374.602
84,1,1093,D47-58,260,18,37,15.187,6.843,0.451,0.486,0.493,0,3,0.103,0.705,0.295,0.178,55.4062,37.8278,0.3173,1,0,334.715,358.582,403.236,6734,0,581,733.149,329.575,1392.025
85,1,1012,D10-18,340,24,49,13.677,6.108,0.447,0.49,0.496,0,3,0.448,0.678,0.322,0.6,56.9112,55.1744,0.0305,0,0,331.452,355.333,391.967,6817,0,589,727.375,328.051,1410.423
86,1,1077,D10-18,420,30,60,13.755,5.698,0.414,0.5,0.509,0,3,0.468,0.7,0.3,0.573,56.9112,68.7048,0.2072,1,0,377.068,416.123,449.15,6902,0,597,723.239,328.134,1429.415
87,1,1282,D86-94,380,25,54,15.668,7.869,0.502,0.463,0.466,0,3,0.297,0.708,0.292,0.488,33.6655,51.9086,0.5419,1,0,354.749,380.829,403.317,6983,0,604,691.268,311.388,1445.364
88,1,1098,D47-58,340,24,49,11.527,5.11,0.443,0.49,0.496,0,3,0.05,0.715,0.285,0.271,37.8278,65.4682,0.7307,1,0,356.365,371.373,400.396,7066,0,612,739.508,332.297,1465.059
89,1,1156,D26-35,300,21,43,14.34,6.414,0.447,0.488,0.495,0,3,0.437,0.684,0.316,0.418,38.4438,46.3426,0.2055,1,0,367.759,388.427,426.487,7149,0,620,696.889,317.167,1483.051
90,1,1246,D18-26,340,24,49,14.164,6.886,0.486,0.49,0.492,0,3,0.367,0.655,0.345,0.476,32.5196,53.2781,0.6383,1,0,368.708,415.782,436.931,7232,0,628,687.033,313.931,1500.439
91,1,1271,D18-26,460,36,66,14.934,6.145,0.411,0.545,0.55,0,3,0.208,0.715,0.285,0.246,53.2781,73.5685,0.3808,1,0,336.833,353.699,403.513,7321,0,637,729.297,337.072,1519.124
92,1,1286,D69-77,300,22,43,16.102,7.41,0.46,0.512,0.514,0,3,0.296,0.693,0.307,0.401,51.9522,42.5716,0.1806,0,0,346.911,395.234,418.906,7407,0,645,727.212,331.268,1535.96
93,1,1139,D47-58,300,23,43,11.303,4.57,0.404,0.535,0.541,0,3,0.285,0.689,0.311,0.377,65.4682,62.5309,0.0449,0,0,357.299,405.945,404.863,7495,0,654,715.432,330.634,1556.629
94,1,1169,D47-58,380,31,54,12.946,4.737,0.366,0.574,0.58,0,3,0.039,0.698,0.302,0.2,65.4682,72.7278,0.1109,0,0,383.552,418.827,440.874,7587,0,664,786.646,361.437,1577.316
95,1,1283,D10-18,420,30,60,12.313,5.586,0.454,0.5,0.505,0,3,0.306,0.675,0.325,0.289,68.7048,76.747,0.1171,0,0,363.491,381.412,419.342,7672,0,672,698.54,319.489,1596.453
96,1,1262,D35-47,460,32,66,14.535,6.55,0.451,0.485,0.491,0,3,0.446,0.693,0.307,0.504,57.5048,69.776,0.2134,1,0,369.28,394.113,401.717,7755,0,680,682.581,311.63,1614.247
97,1,1144,D86-94,460,31,66,13.134,6.102,0.465,0.47,0.476,0,3,0.359,0.682,0.318,0.389,51.9086,75.6508,0.4574,1,0,331.326,362.73,370.32,7836,0,687,696.862,314.356,1632.532
98,1,1146,D69-77,340,24,49,13.842,6.154,0.445,0.49,0.496,0,3,0.351,0.671,0.329,0.416,51.9522,54.5167,0.0494,0,0,362.712,393.519,418.591,7919,0,695,697.295,317.523,1650.871
99,1,1001,D26-35,340,28,49,15.48,5.174,0.334,0.571,0.581,0,3,0.328,0.699,0.301,0.393,46.3426,54.2386,0.1704,0,0,364.677,399.96,416.283,8011,0,705,772.857,356.214,1670.973
100,1,1022,D69-77,260,22,37,13.734,4.251,0.31,0.595,0.604,1,3,0.7,0.711,0.289,0.775,51.9522,48.1376,0.0734,0,0,367.52,395.43,430.222,8145,0,720,750.141,351.738,1692.414
101,1,1085,D47-58,340,25,49,14.297,6.35,0.444,0.51,0.515,0,3,0.339,0.684,0.316,0.358,65.4682,54.2381,0.1715,0,0,381.145,424.718,412.317,8231,0,728,733.327,333.195,1710.621
102,1,1284,D10-18,340,28,49,13.849,4.946,0.357,0.571,0.579,0,3,0.409,0.693,0.307,0.583,68.7048,60.6226,0.1176,0,0,351.459,391.558,387.355,8323,0,738,736.119,343.356,1731.02
103,1,1108,D35-47,460,34,66,15.388,6.694,0.435,0.515,0.52,0,3,0.348,0.677,0.323,0.431,69.776,68.6242,0.0165,0,0,372.372,387.933,409.857,8409,0,746,720.377,329.405,1748.808
104,1,1227,D69-77,300,21,43,15.043,6.931,0.461,0.488,0.493,0,3,0.428,0.702,0.298,0.528,51.9522,44.178,0.1496,0,0,337.45,368.587,389.521,8492,0,754,732.998,329.805,1766.128
105,1,1107,D86-94,420,32,60,15.88,6.403,0.403,0.533,0.54,0,3,0.34,0.68,0.32,0.45,75.6508,62.1828,0.178,0,0,341.022,363.343,394.389,8580,0,763,753.077,343.577,1784.405
106,1,1324,D47-58,300,24,43,16.3,6.379,0.391,0.558,0.563,0,3,0.445,0.71,0.29,0.429,65.4682,44.6824,0.3175,1,0,367.442,399.86,417.498,8670,0,773,738.857,342.321,1802.86
107,1,1291,D26-35,340,27,49,16.083,6.205,0.386,0.551,0.557,0,3,0.415,0.657,0.343,0.446,46.3426,50.8573,0.0974,0,0,338.285,356.279,381.159,8760,0,782,741.282,342.102,1821.5
108,1,1145,D58-69,420,29,60,13.653,6.396,0.468,0.483,0.488,0,3,0.165,0.692,0.308,0.341,40.1057,67.6868,0.6877,1,0,320.827,355.887,399.927,8843,0,790,698.77,317.07,1839.485
109,1,1020,D26-35,260,18,37,14.261,6.492,0.455,0.486,0.492,0,3,0.311,0.696,0.304,0.42,46.3426,40.2862,0.1307,0,0,364.725,396.939,405.245,8926,0,798,731.403,328.964,1857.365
110,1,1365,D47-58,340,28,49,15.936,6.124,0.384,0.571,0.576,0,3,0.415,0.678,0.322,0.523,44.6824,52.6863,0.1791,0,0,360.167,409.87,393.999,9018,0,808,765.871,353.769,1876.233
111,1,1049,D86-94,340,28,49,18.397,6.357,0.346,0.571,0.58,0,3,0.265,0.702,0.298,0.366,75.6508,45.638,0.3967,1,0,363.747,405.05,428.703,9110,0,818,757.223,350.742,1894.797
112,1,1093,D47-58,460,32,66,15.561,7.733,0.497,0.485,0.487,0,3,0.276,0.695,0.305,0.376,44.6824,65.1744,0.4586,1,0,348.577,388.061,391.58,9193,0,826,736.032,330.338,1911.053
113,1,1357,D35-47,420,33,60,13.82,5.52,0.399,0.55,0.555,0,3,0.118,0.712,0.288,0.333,69.776,73.0122,0.0464,0,0,365.766,401.261,426.019,9283,0,835,769.474,351.816,1930.578
114,1,1103,D94-105,460,38,66,12.934,4.584,0.354,0.576,0.583,0,3,0.455,0.678,0.322,0.478,49.2138,88.3064,0.7943,1,0,361.981,400.237,436.706,9375,0,845,737.481,344.482,1951.474
115,1,1308,D47-58,340,28,49,13.739,5.17,0.376,0.571,0.577,0,3,0.078,0.694,0.306,0.174,65.1744,61.1105,0.0624,0,0,364.118,400.357,398.76,9467,0,855,790.14,362.263,1971.581
116,1,1168,D18-26,380,31,54,15.412,5.173,0.336,0.574,0.583,0,3,0.373,0.707,0.293,0.448,73.5685,61.0926,0.1696,0,0,351.889,368.7,387.862,9559,0,865,755.506,350.538,1991.701
117,1,1210,D18-26,300,25,43,13.176,4.271,0.324,0.581,0.591,0,3,0.41,0.688,0.312,0.4,73.5685,56.9391,0.226,1,0,358.321,381.265,402.044,9652,0,875,762.452,354.067,2013.037
118,1,1066,D26-35,260,22,37,12.496,4.287,0.343,0.595,0.601,1,3,0.675,0.713,0.287,0.551,46.3426,52.9061,0.1416,0,0,385.603,414.356,454.496,9786,0,890,758.994,354.837,2034.431
119,1,1240,D26-35,300,21,43,12.969,5.814,0.448,0.488,0.495,0,3,0.484,0.704,0.296,0.505,46.3426,51.2428,0.1057,0,0,349.34,369.378,413.302,9869,0,898,687.163,313.763,2053.204
120,1,1159,D58-69,340,28,49,13.654,5.13,0.376,0.571,0.577,0,3,0.319,0.693,0.307,0.298,67.6868,61.4884,0.0916,0,0,396.028,435.27,435.263,9961,0,908,780.262,358.806,2073.363
121,1,1255,D58-69,340,25,49,14.692,6.759,0.46,0.51,0.513,0,3,0.397,0.705,0.295,0.474,67.6868,52.7808,0.2202,1,0,342.775,391.388,403.946,10047,0,916,701.19,321.947,2091.038
122,1,1235,D35-47,260,21,37,14.714,5.079,0.345,0.568,0.576,0,3,0.227,0.659,0.341,0.472,69.776,43.4191,0.3777,1,0,391.433,417.04,460.694,10138,0,926,783.853,359.484,2111.241
