# ICDDR Delhi Scenario Trace (Formula-Aligned Synthetic Dataset)
# Seed=502 | Duration=3600s | RSU_Distance=800m | k=3 | w_th=0.2 | λ=0.1
# Generated=2026-02-14T11:03:25.296906Z

Time(s),RSU_ID,Vehicle_ID,RoadSegment,SegmentLength_m,Nv_vehicles,Capacity_C,FreeFlowSpeed_vbar_mps,AvgSpeed_v20_mps,Alpha,Density_D,CongestionScore_CD,Congested(0/1),TTL,Relevance_R,rho,gamma,SuitabilityIndex_Si,w_old,w_new,w_delta_ratio,WeightUpdateTriggered(0/1),RerouteTriggered(0/1),PathCost_1,PathCost_2,PathCost_3,PacketsTx_cum,PacketsLost_cum,PacketCollisions_cum,AvgTravelTime_snapshot_s,LostTime_snapshot_s,CO2_cum_g
15,1,1042,D77-86,420,26,60,14.808,8.15,0.55,0.433,0.435,0,3,0.452,0.689,0.311,0.549,40.8353,58.2695,0.4269,1,0,314.527,344.296,374.195,1153,0,92,656.427,294.749,232.992
16,1,1155,D77-86,420,28,60,12.186,6.027,0.495,0.467,0.471,0,3,0.054,0.696,0.304,0.287,58.2695,74.1394,0.2724,1,0,353.75,402.442,396.409,1234,0,99,703.157,316.105,251.358
17,1,1141,D58-69,260,17,37,14.342,6.928,0.483,0.459,0.465,0,3,0.04,0.689,0.311,0.182,20.0921,38.6152,0.9219,1,0,366.893,403.319,435.109,1314,0,106,668.925,303.043,268.508
18,1,1277,D77-86,380,23,54,16.471,9.176,0.557,0.426,0.428,0,3,0.404,0.677,0.323,0.494,74.1394,46.9094,0.3673,1,0,307.605,354.206,342.448,1391,0,112,679.335,301.656,282.535
19,1,1393,D26-35,420,24,60,12.352,7.528,0.609,0.4,0.399,0,2,0.469,0.713,0.287,0.536,49.0353,66.6475,0.3592,1,0,296.694,344.934,349.748,1466,0,118,669.921,294.472,298.548
20,1,1201,D77-86,420,27,60,13.171,6.936,0.527,0.45,0.452,0,3,0.435,0.671,0.329,0.461,46.9094,67.0438,0.4292,1,0,325.515,340.516,373.86,1546,0,125,717.235,318.532,315.631
21,1,1305,D18-26,340,23,49,12.203,5.849,0.479,0.469,0.475,0,3,0.399,0.652,0.348,0.593,65.9694,60.1586,0.0881,0,0,333.965,350.321,394.161,1627,0,132,721.744,323.019,334.244
22,1,1150,D58-69,220,15,31,12.26,5.881,0.48,0.484,0.488,0,3,0.499,0.715,0.285,0.51,38.6152,39.5125,0.0232,0,0,335.399,364.63,414.978,1710,0,140,729.765,327.998,352.902
23,1,1311,D26-35,300,20,43,12.685,5.895,0.465,0.465,0.472,0,3,0.312,0.661,0.339,0.37,66.6475,50.7664,0.2383,1,0,359.26,388.896,406.053,1791,0,147,718.95,321.4,371.429
24,1,1368,D69-77,220,12,31,12.052,7.122,0.591,0.387,0.389,0,2,0.346,0.691,0.309,0.517,60.8372,35.1227,0.4227,1,0,310.952,360.181,357.062,1864,0,152,680.142,296.114,387.893
25,1,1109,D58-69,220,15,31,12.935,6.042,0.467,0.484,0.489,0,3,0.206,0.686,0.314,0.259,38.6152,37.4507,0.0302,0,0,341.778,382.078,391.087,1947,0,160,727.079,327.058,406.342
26,1,1140,D26-35,380,23,54,15.159,8.047,0.531,0.426,0.43,0,3,0.088,0.701,0.299,0.137,50.7664,50.9683,0.004,0,0,316.853,352.295,353.21,2024,0,166,667.703,297.585,421.836
27,1,1338,D18-26,380,26,54,14.396,7.175,0.498,0.481,0.483,0,3,0.188,0.686,0.314,0.361,65.9694,57.9359,0.1218,0,0,368.988,395.564,411.593,2107,0,173,684.626,311.841,438.798
28,1,1203,D47-58,460,27,66,14.191,8.432,0.594,0.409,0.409,0,3,0.091,0.669,0.331,0.315,56.9162,64.3602,0.1308,0,0,335.63,375.902,399.764,2182,0,179,649.772,288.784,453.692
29,1,1353,D77-86,420,24,60,12.132,6.857,0.565,0.4,0.403,0,3,0.184,0.698,0.302,0.407,67.0438,67.851,0.012,0,0,314.56,356.319,393.623,2257,0,185,657.343,290.07,470.578
30,1,1333,D77-86,260,15,37,13.436,7.155,0.533,0.405,0.412,0,3,0.274,0.713,0.287,0.255,67.0438,38.2204,0.4299,1,0,307.638,355.63,365.838,2332,0,191,686.823,301.199,487.108
31,1,1320,D58-69,460,27,66,14.318,8.429,0.589,0.409,0.409,0,3,0.367,0.71,0.29,0.384,38.6152,63.7912,0.652,1,0,345.963,385.468,391.4,2407,0,197,657.144,291.364,502.005
32,1,1179,D35-47,340,20,49,13.734,7.844,0.571,0.408,0.41,0,3,0.163,0.69,0.31,0.421,39.2151,49.0897,0.2518,1,0,345.008,369.52,414.486,2482,0,203,650.587,288.93,517.657
33,1,1062,D58-69,220,14,31,17.148,8.789,0.513,0.452,0.455,0,3,0.279,0.685,0.315,0.473,63.7912,27.0337,0.5762,1,0,355.908,394.236,423.678,2562,0,210,708.903,315.858,532.342
34,1,1204,D10-18,380,26,54,12.337,5.647,0.458,0.481,0.488,0,3,0.124,0.699,0.301,0.213,53.6368,67.6019,0.2604,1,0,339.57,387.395,383.12,2645,0,217,709.36,320.498,551.29
35,1,1116,D77-86,340,25,49,14.688,5.981,0.407,0.51,0.518,0,3,0.252,0.695,0.305,0.451,38.2204,52.7927,0.3813,1,0,382.947,431.663,445.06,2731,0,225,717.859,327.781,569.976
36,1,1188,D35-47,300,18,43,12.195,6.318,0.518,0.419,0.425,0,3,0.187,0.655,0.345,0.424,49.0897,49.5075,0.0085,0,0,341.656,363.955,406.956,2807,0,231,654.795,291.969,587.674
37,1,1161,D86-94,380,24,54,12.05,6.231,0.517,0.444,0.448,0,3,0.285,0.691,0.309,0.392,41.462,65.7955,0.5869,1,0,307.998,340.652,339.703,2886,0,238,690.291,308.268,605.641
38,1,1157,D86-94,460,31,66,14.779,6.812,0.461,0.47,0.477,0,3,0.064,0.685,0.315,0.172,65.7955,67.2289,0.0218,0,0,367.024,414.193,417.67,2967,0,245,692.809,312.938,623.004
39,1,1294,D94-105,300,21,43,17.768,8.131,0.458,0.488,0.494,0,3,0.029,0.648,0.352,0.237,55.8114,37.4034,0.3298,1,0,358.112,380.006,403.503,3050,0,253,737.778,331.478,638.764
40,1,1282,D69-77,460,29,66,15.521,8.571,0.552,0.439,0.44,0,3,0.334,0.698,0.302,0.511,35.1227,61.4043,0.7483,1,0,327.058,374.268,382.442,3128,0,259,659.498,296.733,653.657
41,1,1294,D77-86,220,15,31,12.948,5.685,0.439,0.484,0.492,0,3,0.405,0.676,0.324,0.382,52.7927,37.4118,0.2913,1,0,370.749,389.754,418.066,3211,0,267,740.126,331.625,672.57
42,1,1234,D58-69,340,20,49,14.954,8.488,0.568,0.408,0.411,0,3,0.043,0.685,0.315,0.308,27.0337,45.0846,0.6677,1,0,295.698,315.715,346.245,3286,0,273,680.568,299.423,687.386
43,1,1349,D86-94,220,13,31,13.595,7.147,0.526,0.419,0.425,0,3,0.261,0.71,0.29,0.255,65.7955,32.6014,0.5045,1,0,318.2,338.73,351.928,3362,0,279,690.468,304.567,704.01
44,1,1009,D47-58,300,20,43,11.449,5.559,0.486,0.465,0.47,0,3,0.227,0.7,0.3,0.393,56.9162,56.2457,0.0118,0,0,351.816,382.155,425.752,3443,0,286,711.023,318.626,722.975
45,1,1321,D10-18,380,25,54,13.747,7.258,0.528,0.463,0.464,0,3,0.026,0.666,0.334,0.236,67.6019,59.1628,0.1248,0,0,364.743,413.357,436.734,3524,0,293,697.379,313.527,739.716
46,1,1260,D26-35,300,22,43,14.073,6.251,0.444,0.512,0.516,0,3,0.122,0.697,0.303,0.254,50.7664,48.7094,0.0405,0,0,345.14,393.028,422.647,3610,0,301,700.45,321.902,758.059
47,1,1152,D77-86,300,18,43,15.559,8.487,0.546,0.419,0.422,0,3,0.265,0.691,0.309,0.284,37.4118,38.8038,0.0372,0,0,342.5,362.908,386.633,3686,0,307,692.99,305.337,772.937
48,1,1182,D26-35,420,25,60,15.23,8.772,0.576,0.417,0.417,0,3,0.353,0.673,0.327,0.477,50.7664,55.3453,0.0902,0,0,314.075,352.237,352.64,3762,0,313,664.275,294.996,787.433
49,1,1254,D10-18,420,30,60,16.82,7.264,0.432,0.5,0.507,0,3,0.326,0.677,0.323,0.336,67.6019,56.1815,0.1689,0,0,376.111,413.82,419.712,3847,0,321,707.767,322.719,804.39
50,1,1066,D47-58,340,22,49,14.229,7.423,0.522,0.449,0.452,0,3,0.194,0.704,0.296,0.258,56.9162,50.1678,0.1186,0,0,341.616,361.578,410.841,3926,0,328,718.738,318.905,820.834
51,1,1354,D77-86,460,28,66,14.073,7.619,0.541,0.424,0.428,0,3,0.485,0.671,0.329,0.496,37.4118,66.3037,0.7723,1,0,329.485,368.166,380.769,4003,0,334,689.14,304.835,836.875
52,1,1004,D26-35,220,15,31,12.672,5.7,0.45,0.484,0.491,0,3,0.036,0.721,0.279,0.282,50.7664,38.2277,0.247,1,0,337.242,370.843,398.71,4086,0,342,719.294,324.334,855.768
53,1,1225,D94-105,220,13,31,16.652,9.169,0.551,0.419,0.422,0,3,0.429,0.666,0.334,0.568,37.4034,26.6161,0.2884,1,0,300.331,319.649,374.285,4162,0,348,700.048,307.92,869.765
54,1,1022,D26-35,220,15,31,11.984,6.059,0.506,0.484,0.485,0,3,0.487,0.68,0.32,0.424,38.2277,40.4216,0.0574,0,0,357.68,407.165,401.038,4245,0,356,733.69,329.372,888.191
55,1,1128,D69-77,460,34,66,12.124,5.068,0.418,0.515,0.522,0,3,0.095,0.677,0.323,0.188,61.4043,87.1032,0.4185,1,0,382.829,429.405,421.985,4331,0,364,706.698,324.617,908.094
56,1,1118,D69-77,260,18,37,14.657,7.217,0.492,0.486,0.489,0,3,0.337,0.692,0.308,0.34,87.1032,39.1955,0.55,1,0,322.815,372.378,373.454,4414,0,372,691.454,314.982,925.031
57,1,1018,D35-47,420,28,60,13.333,6.452,0.484,0.467,0.472,0,3,0.209,0.69,0.31,0.296,49.0897,67.7611,0.3804,1,0,312.739,354.536,357.282,4495,0,379,691.18,311.913,942.844
58,1,1313,D26-35,220,17,31,15.459,5.956,0.385,0.548,0.555,0,3,0.08,0.724,0.276,0.133,38.2277,34.1198,0.1075,0,0,341.727,382.669,418.532,4584,0,388,747.783,343.982,961.791
59,1,1256,D58-69,420,25,60,16.731,8.844,0.529,0.417,0.422,0,3,0.092,0.689,0.311,0.343,45.0846,50.3794,0.1174,0,0,304.064,334.863,340.948,4660,0,394,664.056,294.92,976.194
60,1,1012,D94-105,300,20,43,12.81,6.532,0.51,0.465,0.468,0,3,0.229,0.683,0.317,0.26,26.6161,50.2715,0.8888,1,0,342.954,371.887,373.568,4741,0,401,678.112,307.107,993.893
61,1,1092,D86-94,380,24,54,16.229,8.582,0.529,0.444,0.447,0,3,0.422,0.654,0.346,0.538,32.6014,48.8542,0.4985,1,0,316.695,358.347,351.414,4820,0,408,690.3,308.272,1008.802
62,1,1394,D69-77,420,29,60,13.422,6.341,0.472,0.483,0.488,0,3,0.364,0.71,0.29,0.376,39.1955,68.8506,0.7566,1,0,321.999,351.046,373.533,4903,0,416,699.833,317.441,1026.859
63,1,1018,D18-26,220,16,31,13.285,5.909,0.445,0.516,0.52,0,3,0.464,0.687,0.313,0.413,65.9694,38.0654,0.423,1,0,365.053,386.103,440.079,4989,0,424,718.329,328.835,1045.674
64,1,1389,D77-86,460,29,66,12.396,6.202,0.5,0.439,0.445,0,3,0.382,0.67,0.33,0.573,66.3037,76.8846,0.1596,0,0,361.44,394.179,432.881,5067,0,430,675.955,302.493,1063.647
65,1,1083,D35-47,300,19,43,14.861,7.797,0.525,0.442,0.445,0,3,0.052,0.694,0.306,0.17,67.7611,41.9691,0.3806,1,0,312.983,350.47,369.401,5146,0,436,671.616,301.345,1079.562
66,1,1300,D58-69,460,35,66,15.084,5.769,0.382,0.53,0.539,0,3,0.432,0.722,0.278,0.443,45.0846,71.4156,0.584,1,0,368.281,413.542,399.293,5234,0,445,758.519,345.027,1098.644
67,1,1277,D10-18,260,19,37,12.632,5.081,0.402,0.514,0.522,0,3,0.383,0.694,0.306,0.403,67.6019,47.1497,0.3025,1,0,350.336,378.412,418.138,5320,0,453,731.352,333.0,1118.519
68,1,1374,D10-18,300,22,43,15.052,6.363,0.423,0.512,0.518,0,3,0.03,0.676,0.324,0.201,47.1497,45.5413,0.0341,0,0,329.56,376.34,370.239,5406,0,461,699.358,321.519,1136.717
69,1,1364,D26-35,420,26,60,14.237,7.08,0.497,0.433,0.44,0,3,0.18,0.662,0.338,0.382,38.2277,60.6073,0.5854,1,0,334.826,356.77,392.406,5484,0,467,695.892,308.562,1153.513
70,1,1392,D94-105,380,24,54,15.355,7.574,0.493,0.444,0.451,0,3,0.285,0.701,0.299,0.453,50.2715,51.6355,0.0271,0,0,339.613,367.695,410.19,5563,0,474,665.018,299.423,1169.734
71,1,1304,D69-77,420,32,60,14.589,6.233,0.427,0.533,0.537,0,3,0.478,0.651,0.349,0.47,68.8506,67.6868,0.0169,0,0,372.711,408.102,415.257,5651,0,483,739.13,338.696,1188.231
72,1,1001,D26-35,420,27,60,13.274,6.761,0.509,0.45,0.454,0,3,0.154,0.708,0.292,0.392,60.6073,66.5256,0.0976,0,0,357.615,405.773,396.022,5731,0,490,719.773,319.42,1205.541
73,1,1228,D86-94,220,15,31,13.975,6.11,0.437,0.484,0.492,0,3,0.072,0.671,0.329,0.228,48.8542,34.6626,0.2905,1,0,339.088,360.701,381.823,5814,0,498,725.356,326.455,1223.901
74,1,1093,D18-26,420,33,60,15.106,5.702,0.377,0.55,0.557,0,3,0.067,0.702,0.298,0.192,38.0654,66.798,0.7548,1,0,349.692,376.455,409.263,5904,0,507,759.373,348.28,1243.188
75,1,1147,D35-47,340,23,49,15.86,7.947,0.501,0.469,0.472,0,3,0.341,0.717,0.283,0.343,41.9691,46.2869,0.1029,0,0,323.148,366.811,393.574,5985,0,514,693.457,313.118,1259.074
76,1,1380,D86-94,380,30,54,12.533,4.736,0.378,0.556,0.562,0,3,0.092,0.682,0.318,0.211,34.6626,73.3671,1.1166,1,0,359.052,386.388,419.476,6075,0,524,768.708,352.381,1279.651
77,1,1170,D77-86,340,24,49,15.696,7.561,0.482,0.49,0.493,0,3,0.13,0.664,0.336,0.402,66.3037,48.0769,0.2749,1,0,338.728,354.64,379.375,6158,0,532,715.827,324.009,1296.16
78,1,1298,D47-58,220,14,31,14.445,7.709,0.534,0.452,0.453,0,3,0.31,0.694,0.306,0.494,56.9162,32.0934,0.4361,1,0,344.367,360.263,420.186,6238,0,539,682.933,306.768,1312.248
79,1,1305,D69-77,260,17,37,15.109,7.221,0.478,0.459,0.466,0,3,0.291,0.652,0.348,0.457,68.8506,36.653,0.4676,1,0,340.761,358.651,408.385,6318,0,546,689.555,310.263,1329.017
80,1,1031,D26-35,380,25,54,18.543,8.8,0.475,0.463,0.469,0,3,0.455,0.668,0.332,0.502,60.6073,43.8592,0.2763,1,0,339.057,383.127,373.091,6399,0,553,718.635,320.967,1343.755
81,1,1228,D26-35,340,23,49,13.694,6.951,0.508,0.469,0.472,0,3,0.366,0.656,0.344,0.538,43.8592,53.6061,0.2222,1,0,341.332,377.452,388.115,6480,0,560,702.355,316.232,1360.935
82,1,1372,D18-26,220,14,31,15.89,7.789,0.49,0.452,0.457,0,3,0.154,0.716,0.284,0.373,66.798,29.1751,0.5632,1,0,326.732,375.341,374.658,6560,0,567,665.777,300.764,1376.918
83,1,1110,D18-26,220,16,31,13.642,5.517,0.404,0.516,0.524,0,3,0.189,0.693,0.307,0.256,29.1751,37.0688,0.2706,1,0,329.481,358.188,406.758,6646,0,575,746.8,338.799,1396.243
84,1,1099,D10-18,220,14,31,15.375,8.151,0.53,0.452,0.453,0,3,0.105,0.696,0.304,0.264,47.1497,30.1518,0.3605,1,0,328.694,349.53,382.256,6726,0,582,712.984,317.286,1411.756
85,1,1107,D94-105,460,30,66,17.791,9.42,0.529,0.455,0.456,0,3,0.047,0.653,0.347,0.324,50.2715,54.7028,0.0881,0,0,329.66,377.732,374.351,6806,0,589,720.99,320.528,1425.638
86,1,1400,D86-94,300,21,43,14.355,6.516,0.454,0.488,0.494,0,3,0.169,0.687,0.313,0.367,73.3671,46.2955,0.369,1,0,335.748,385.062,382.301,6889,0,597,733.703,330.052,1443.497
87,1,1276,D58-69,340,24,49,15.419,6.857,0.445,0.49,0.496,0,3,0.214,0.677,0.323,0.448,71.4156,48.9404,0.3147,1,0,343.263,386.606,398.694,6972,0,605,724.302,326.975,1460.922
88,1,1279,D86-94,420,29,60,12.883,5.89,0.457,0.483,0.489,0,3,0.014,0.707,0.293,0.124,46.2955,71.7324,0.5494,1,0,364.283,407.55,410.607,7055,0,613,692.78,314.973,1479.565
89,1,1313,D77-86,220,17,31,15.731,6.504,0.413,0.548,0.552,0,3,0.378,0.708,0.292,0.497,48.0769,33.5298,0.3026,1,0,352.427,370.833,407.762,7144,0,622,745.431,343.159,1497.8
90,1,1170,D86-94,260,21,37,14.543,4.949,0.34,0.568,0.577,0,3,0.182,0.699,0.301,0.294,71.7324,43.93,0.3876,1,0,355.245,396.485,409.145,7235,0,632,739.632,344.006,1518.172
91,1,1340,D77-86,340,26,49,14.691,5.815,0.396,0.531,0.538,0,3,0.338,0.675,0.325,0.442,33.5298,54.2189,0.617,1,0,371.065,413.845,448.264,7323,0,641,754.642,343.716,1537.196
92,1,1156,D18-26,220,17,31,14.701,6.15,0.418,0.548,0.552,0,3,0.203,0.665,0.335,0.368,37.0688,35.8784,0.0321,0,0,344.987,384.522,416.184,7412,0,650,769.871,351.713,1555.891
93,1,1225,D47-58,260,20,37,16.172,6.163,0.381,0.541,0.548,0,3,0.236,0.708,0.292,0.45,32.0934,38.155,0.1889,0,0,350.856,381.284,429.624,7501,0,659,726.909,335.499,1574.523
94,1,1077,D86-94,300,22,43,16.775,7.234,0.431,0.512,0.517,0,3,0.013,0.714,0.286,0.11,43.93,40.8655,0.0698,0,0,330.971,357.933,407.177,7587,0,667,699.12,321.436,1591.588
95,1,1343,D10-18,340,25,49,12.9,5.32,0.412,0.51,0.518,0,3,0.02,0.692,0.308,0.144,30.1518,60.1103,0.9936,1,0,362.296,396.628,396.583,7673,0,675,732.533,332.917,1611.134
96,1,1378,D35-47,420,30,60,14.441,6.351,0.44,0.5,0.506,0,3,0.221,0.692,0.308,0.219,41.9691,65.4374,0.5592,1,0,367.807,412.338,412.739,7758,0,683,739.752,333.913,1629.278
97,1,1333,D35-47,340,23,49,13.065,5.903,0.452,0.469,0.477,0,3,0.445,0.664,0.336,0.512,65.4374,56.1887,0.1413,0,0,359.544,409.022,396.191,7839,0,690,722.856,323.408,1647.82
98,1,1120,D47-58,220,15,31,14.288,6.656,0.466,0.484,0.489,0,3,0.135,0.681,0.319,0.222,32.0934,33.9028,0.0564,0,0,341.872,381.886,416.045,7922,0,698,681.014,310.936,1665.47
99,1,1202,D94-105,420,34,60,13.229,4.955,0.375,0.567,0.573,0,3,0.311,0.7,0.3,0.333,50.2715,77.9262,0.5501,1,0,341.967,368.395,413.884,8013,0,708,731.125,340.894,1685.828
100,1,1034,D47-58,460,39,66,14.56,5.082,0.349,0.591,0.597,0,3,0.305,0.705,0.295,0.402,32.0934,79.9599,1.4915,1,0,353.996,401.792,428.888,8107,0,719,751.076,351.513,1706.168
101,1,1361,D86-94,260,21,37,14.24,5.487,0.385,0.568,0.572,0,3,0.416,0.673,0.327,0.544,43.93,44.8661,0.0213,0,0,392.057,429.677,461.507,8198,0,729,772.399,355.475,1725.839
102,1,1013,D94-105,260,19,37,12.763,5.077,0.398,0.514,0.522,0,3,0.065,0.68,0.32,0.257,77.9262,46.6644,0.4012,1,0,373.269,394.987,452.513,8284,0,737,753.698,340.821,1745.72
103,1,1053,D47-58,340,27,49,14.875,5.89,0.396,0.551,0.556,0,3,0.086,0.692,0.308,0.239,79.9599,54.9874,0.3123,1,0,362.615,395.671,405.054,8374,0,746,773.785,353.478,1764.769
104,1,1152,D86-94,420,31,60,14.053,5.935,0.422,0.517,0.523,0,3,0.241,0.654,0.346,0.49,43.93,68.7472,0.5649,1,0,374.688,393.602,419.271,8460,0,754,752.458,340.86,1783.553
105,1,1134,D10-18,460,35,66,15.2,6.172,0.406,0.53,0.537,0,3,0.313,0.683,0.317,0.391,60.1103,70.8724,0.179,0,0,387.33,427.809,428.029,8548,0,763,728.247,334.432,1802.112
106,1,1042,D35-47,420,34,60,13.522,5.074,0.375,0.567,0.572,0,3,0.351,0.672,0.328,0.433,65.4374,76.2337,0.165,0,0,392.407,408.928,453.988,8639,0,773,775.016,356.255,1822.316
107,1,1183,D35-47,260,22,37,14.624,4.827,0.33,0.595,0.602,1,3,0.403,0.703,0.297,0.48,65.4374,45.2075,0.3091,1,1,408.133,427.021,456.754,8773,0,788,758.659,354.72,1843.009
108,1,1068,D86-94,220,16,31,15.507,6.488,0.418,0.516,0.523,0,3,0.117,0.69,0.31,0.196,68.7472,32.6118,0.5256,1,0,352.409,380.559,390.259,8859,0,796,714.949,327.651,1861.07
109,1,1070,D26-35,460,33,66,15.909,7.339,0.461,0.5,0.504,0,3,0.303,0.703,0.297,0.402,53.6061,65.058,0.2136,1,0,352.753,389.516,424.823,8944,0,804,738.658,333.53,1877.93
110,1,1306,D47-58,220,15,31,16.786,8.106,0.483,0.484,0.487,0,3,0.495,0.661,0.339,0.498,54.9874,28.8587,0.4752,1,0,362.271,401.438,427.418,9027,0,812,716.418,323.327,1893.696
111,1,1155,D47-58,420,32,60,13.35,5.87,0.44,0.533,0.536,0,3,0.002,0.703,0.297,0.181,28.8587,73.9665,1.5631,1,0,385.173,425.171,459.914,9115,0,821,757.642,345.175,1912.664
112,1,1163,D94-105,340,27,49,14.901,5.957,0.4,0.551,0.556,0,3,0.284,0.691,0.309,0.304,46.6644,54.8912,0.1763,0,0,378.872,424.473,417.109,9205,0,830,771.677,352.74,1931.626
113,1,1202,D86-94,220,17,31,14.52,5.195,0.358,0.548,0.558,0,3,0.328,0.687,0.313,0.292,32.6118,36.3255,0.1139,0,0,335.215,374.159,386.497,9294,0,839,725.266,336.101,1951.564
114,1,1065,D47-58,380,30,54,16.202,6.661,0.411,0.556,0.559,0,3,0.216,0.713,0.287,0.276,73.9665,56.7529,0.2327,1,0,364.365,409.611,423.288,9384,0,849,747.836,345.076,1969.637
115,1,1177,D47-58,260,18,37,15.211,7.211,0.474,0.486,0.49,0,3,0.481,0.675,0.325,0.604,56.7529,37.7679,0.3345,1,0,355.403,383.37,398.355,9467,0,857,710.069,321.497,1986.582
116,1,1131,D10-18,420,31,60,14.228,6.492,0.456,0.517,0.519,0,3,0.197,0.668,0.332,0.277,60.1103,67.901,0.1296,0,0,362.626,411.904,411.735,9553,0,865,717.412,328.594,2004.643
117,1,1070,D58-69,460,35,66,15.247,6.411,0.42,0.53,0.535,0,3,0.084,0.688,0.312,0.345,48.9404,70.6523,0.4436,1,0,388.339,430.805,419.199,9641,0,874,735.333,336.912,2022.89
118,1,1154,D35-47,220,19,31,12.888,4.099,0.318,0.613,0.62,1,3,0.704,0.689,0.311,0.622,45.2075,44.4076,0.0177,0,0,408.281,430.253,452.022,9777,0,890,774.152,362.889,2044.639
119,1,1129,D69-77,420,31,60,13.727,6.197,0.451,0.517,0.52,0,3,0.344,0.688,0.312,0.488,36.653,70.3787,0.9201,1,0,329.833,365.388,382.753,9863,0,898,728.604,332.511,2063.083
120,1,1349,D94-105,300,23,43,13.215,5.87,0.444,0.535,0.537,0,3,0.485,0.7,0.3,0.638,46.6644,53.4832,0.1461,0,0,371.323,402.252,446.107,9951,0,907,767.735,348.94,2082.062
121,1,1355,D86-94,420,31,60,17.062,6.948,0.407,0.517,0.524,0,3,0.256,0.711,0.289,0.351,32.6118,56.6249,0.7363,1,0,358.267,407.148,437.368,10037,0,915,728.506,332.477,2099.529
122,1,1012,D10-18,460,34,66,13.665,5.609,0.41,0.515,0.523,0,3,0.152,0.672,0.328,0.196,60.1103,77.2768,0.2856,1,0,345.848,365.151,425.291,10123,0,923,704.507,323.85,2118.729
