# ICDDR Delhi Scenario Trace (Formula-Aligned Synthetic Dataset)
# Seed=505 | Duration=3600s | RSU_Distance=800m | k=3 | w_th=0.2 | λ=0.1
# Generated=2026-02-14T11:03:25.499430Z

Time(s),RSU_ID,Vehicle_ID,RoadSegment,SegmentLength_m,Nv_vehicles,Capacity_C,FreeFlowSpeed_vbar_mps,AvgSpeed_v20_mps,Alpha,Density_D,CongestionScore_CD,Congested(0/1),TTL,Relevance_R,rho,gamma,SuitabilityIndex_Si,w_old,w_new,w_delta_ratio,WeightUpdateTriggered(0/1),RerouteTriggered(0/1),PathCost_1,PathCost_2,PathCost_3,PacketsTx_cum,PacketsLost_cum,PacketCollisions_cum,AvgTravelTime_snapshot_s,LostTime_snapshot_s,CO2_cum_g
11,1,1108,D35-47,260,15,37,16.173,8.725,0.54,0.405,0.411,0,3,0.285,0.704,0.296,0.321,55.7138,31.7539,0.4301,1,0,327.639,372.854,361.1,833,0,64,633.904,282.677,169.327
12,1,1386,D69-77,380,22,54,13.122,7.834,0.597,0.407,0.407,0,3,0.28,0.705,0.295,0.401,26.6371,57.3636,1.1535,1,0,330.691,357.704,365.85,908,0,70,693.088,303.692,184.987
13,1,1240,D47-58,260,15,37,17.065,9.968,0.584,0.405,0.406,0,3,0.248,0.688,0.312,0.297,53.1904,30.0929,0.4342,1,0,310.026,359.63,387.946,983,0,76,688.222,301.689,197.862
14,1,1346,D18-26,460,26,66,14.27,8.436,0.591,0.394,0.395,0,2,0.499,0.649,0.351,0.619,51.2428,62.6375,0.2224,1,0,322.722,363.59,381.404,1057,0,81,658.689,289.632,212.658
15,1,1351,D47-58,460,29,66,14.754,7.696,0.522,0.439,0.443,0,3,0.376,0.689,0.311,0.403,30.0929,64.5966,1.1466,1,0,323.85,370.45,393.005,1135,0,87,660.112,296.948,228.69
16,1,1316,D18-26,300,18,43,17.346,9.601,0.554,0.419,0.421,0,3,0.269,0.662,0.338,0.354,62.6375,34.8055,0.4443,1,0,312.212,357.642,380.334,1211,0,93,673.764,298.608,242.12
17,1,1002,D18-26,340,19,49,13.064,7.816,0.598,0.388,0.389,0,2,0.106,0.656,0.344,0.402,34.8055,50.1234,0.4401,1,0,290.022,321.227,356.293,1284,0,98,650.642,285.888,257.686
18,1,1150,D94-105,420,23,60,15.986,9.791,0.612,0.383,0.384,0,2,0.273,0.691,0.309,0.434,72.6638,50.2758,0.3081,1,0,290.384,320.736,338.823,1357,0,103,663.532,289.736,270.658
19,1,1271,D26-35,260,17,37,15.11,7.479,0.495,0.459,0.464,0,3,0.312,0.698,0.302,0.303,23.415,36.6516,0.5653,1,0,346.529,373.14,397.195,1437,0,110,701.211,314.343,287.092
20,1,1373,D77-86,420,29,60,14.403,6.464,0.449,0.483,0.49,0,3,0.186,0.693,0.307,0.351,59.5978,64.1614,0.0766,0,0,370.238,405.463,437.412,1520,0,118,711.638,321.573,304.989
21,1,1313,D58-69,460,32,66,12.738,5.553,0.436,0.485,0.493,0,3,0.271,0.707,0.293,0.428,38.8504,79.6188,1.0494,1,0,315.499,357.611,383.782,1603,0,126,691.408,314.72,324.08
22,1,1343,D77-86,260,15,37,15.164,8.637,0.57,0.405,0.408,0,3,0.323,0.698,0.302,0.348,59.5978,33.8653,0.4318,1,0,326.061,372.746,356.976,1678,0,132,660.697,292.055,338.684
23,1,1170,D58-69,220,12,31,15.42,9.048,0.587,0.387,0.39,0,2,0.455,0.681,0.319,0.519,79.6188,27.4514,0.6552,1,0,314.868,355.557,345.245,1751,0,137,659.927,289.039,352.644
24,1,1060,D35-47,460,32,66,15.289,6.844,0.448,0.485,0.492,0,3,0.416,0.67,0.33,0.4,31.7539,66.3359,1.0891,1,0,342.555,369.475,392.156,1834,0,145,699.428,317.527,370.056
25,1,1299,D77-86,220,14,31,14.311,6.885,0.481,0.452,0.458,0,3,0.098,0.684,0.316,0.33,33.8653,32.3929,0.0435,0,0,325.257,366.394,384.532,1914,0,152,677.588,304.898,387.215
26,1,1300,D77-86,300,16,43,12.76,8.019,0.628,0.372,0.372,0,2,0.052,0.663,0.337,0.158,33.8653,44.2619,0.307,1,0,334.207,369.665,397.681,1986,0,157,644.623,281.432,402.423
27,1,1214,D47-58,380,21,54,17.103,9.656,0.565,0.389,0.394,0,2,0.318,0.69,0.31,0.407,64.5966,42.8599,0.3365,1,0,341.882,359.66,373.505,2059,0,162,623.571,276.583,415.604
28,1,1136,D77-86,460,25,66,13.388,8.178,0.611,0.379,0.38,0,2,0.318,0.671,0.329,0.385,44.2619,65.3204,0.4758,1,0,331.825,361.865,396.914,2131,0,167,672.624,292.237,430.645
29,1,1400,D69-77,380,22,54,13.88,7.504,0.541,0.407,0.413,0,3,0.051,0.708,0.292,0.289,57.3636,54.2302,0.0546,0,0,346.906,362.496,402.206,2206,0,173,640.102,285.147,446.734
30,1,1106,D26-35,220,14,31,15.618,7.444,0.477,0.452,0.459,0,3,0.255,0.701,0.299,0.444,36.6516,29.6831,0.1901,0,0,345.782,377.629,395.106,2286,0,180,671.112,302.631,463.166
31,1,1060,D10-18,460,26,66,12.852,7.228,0.562,0.394,0.398,0,2,0.312,0.667,0.333,0.491,19.4882,69.5489,2.5688,1,0,294.701,323.204,373.356,2360,0,185,656.031,288.702,479.533
32,1,1003,D10-18,260,16,37,14.263,7.934,0.556,0.432,0.434,0,3,0.09,0.691,0.309,0.168,69.5489,37.4022,0.4622,1,0,329.333,353.894,375.974,2438,0,191,692.843,307.36,495.214
33,1,1071,D10-18,340,24,49,14.965,6.997,0.468,0.49,0.494,0,3,0.35,0.688,0.312,0.314,37.4022,50.4272,0.3482,1,0,371.547,390.626,451.536,2521,0,199,695.643,316.944,512.457
34,1,1263,D35-47,340,22,49,16.327,7.872,0.482,0.449,0.456,0,3,0.469,0.684,0.316,0.452,66.3359,43.7214,0.3409,1,0,351.691,379.027,406.208,2600,0,206,718.243,318.732,528.317
35,1,1219,D69-77,460,27,66,12.262,7.265,0.592,0.409,0.409,0,3,0.008,0.711,0.289,0.12,57.3636,74.4838,0.2985,1,0,303.145,352.948,334.661,2675,0,212,655.146,290.665,544.727
36,1,1397,D26-35,260,18,37,13.547,6.097,0.45,0.486,0.493,0,3,0.24,0.699,0.301,0.248,36.6516,42.4069,0.157,0,0,327.085,348.51,366.408,2758,0,220,732.79,329.45,563.12
37,1,1019,D77-86,340,21,49,12.908,6.654,0.515,0.429,0.434,0,3,0.095,0.655,0.345,0.159,65.3204,53.7544,0.1771,0,0,319.233,348.916,386.146,2835,0,226,699.039,308.95,580.441
38,1,1349,D86-94,260,17,37,12.463,5.993,0.481,0.459,0.465,0,3,0.012,0.666,0.334,0.192,46.1105,44.4347,0.0363,0,0,313.941,347.758,388.631,2915,0,233,704.581,315.522,598.806
39,1,1382,D10-18,460,30,66,10.42,5.276,0.506,0.455,0.458,0,3,0.36,0.709,0.291,0.364,50.4272,93.3982,0.8521,1,0,347.015,390.166,419.51,2995,0,240,714.867,318.385,618.075
40,1,1181,D26-35,380,23,54,12.32,6.853,0.556,0.426,0.428,0,3,0.036,0.709,0.291,0.18,36.6516,62.7137,0.7111,1,0,331.921,364.089,404.945,3072,0,246,680.15,301.942,635.122
41,1,1353,D47-58,340,22,49,16.114,8.18,0.508,0.449,0.453,0,3,0.048,0.64,0.36,0.205,42.8599,44.3001,0.0336,0,0,351.171,399.065,415.111,3151,0,253,709.838,315.79,650.582
42,1,1188,D58-69,220,15,31,13.018,6.171,0.474,0.484,0.488,0,3,0.042,0.712,0.288,0.207,27.4514,37.2113,0.3555,1,0,354.653,391.188,397.227,3234,0,261,725.921,326.653,668.863
43,1,1296,D69-77,340,24,49,13.454,5.811,0.432,0.49,0.498,0,3,0.257,0.689,0.311,0.415,74.4838,56.0904,0.2469,1,0,358.597,394.448,425.374,3317,0,269,707.683,321.159,687.647
44,1,1375,D86-94,380,28,54,15.096,6.883,0.456,0.519,0.521,0,3,0.3,0.71,0.29,0.311,46.1105,58.0452,0.2588,1,0,340.169,387.989,418.351,3403,0,277,742.627,337.697,705.211
45,1,1078,D69-77,460,34,66,15.094,6.031,0.4,0.515,0.524,0,3,0.497,0.677,0.323,0.46,56.0904,69.9621,0.2473,1,0,332.266,371.196,386.959,3489,0,285,700.621,322.49,723.861
46,1,1270,D47-58,220,16,31,15.229,6.07,0.399,0.516,0.525,0,3,0.366,0.701,0.299,0.526,42.8599,33.2072,0.2252,1,0,339.47,365.646,418.346,3575,0,293,747.406,339.011,742.467
47,1,1247,D58-69,460,34,66,14.568,6.183,0.424,0.515,0.521,0,3,0.119,0.688,0.312,0.304,37.2113,72.488,0.948,1,0,355.84,396.414,396.051,3661,0,301,745.601,338.233,760.921
48,1,1014,D18-26,420,30,60,17.631,8.223,0.466,0.5,0.503,0,3,0.25,0.663,0.337,0.24,50.1234,53.6001,0.0694,0,0,364.362,386.869,437.193,3746,0,309,703.912,321.369,776.63
49,1,1218,D18-26,220,16,31,12.023,4.706,0.391,0.516,0.525,0,3,0.292,0.662,0.338,0.357,50.1234,42.0602,0.1609,0,0,378.418,404.433,412.081,3832,0,317,709.313,325.679,797.009
50,1,1093,D26-35,380,23,54,14.976,8.152,0.544,0.426,0.429,0,3,0.447,0.648,0.352,0.365,62.7137,51.5918,0.1773,0,0,357.729,395.993,398.248,3909,0,323,687.943,304.669,812.367
51,1,1055,D47-58,420,27,60,14.36,7.531,0.524,0.45,0.453,0,3,0.191,0.696,0.304,0.405,33.2072,61.4927,0.8518,1,0,330.935,377.333,370.736,3989,0,330,674.899,303.715,828.677
52,1,1130,D35-47,220,16,31,15.247,6.906,0.453,0.516,0.519,0,3,0.237,0.712,0.288,0.444,43.7214,33.1672,0.2414,1,0,335.348,369.194,396.583,4075,0,338,750.954,340.253,846.197
53,1,1346,D18-26,420,28,60,15.499,7.495,0.484,0.467,0.472,0,3,0.203,0.676,0.324,0.375,50.1234,58.2921,0.163,0,0,355.463,389.053,394.18,4156,0,345,670.859,304.801,862.653
54,1,1361,D69-77,260,18,37,15.711,7.391,0.47,0.486,0.491,0,3,0.326,0.698,0.302,0.493,69.9621,36.5682,0.4773,1,0,321.37,361.44,352.945,4239,0,353,739.254,331.712,879.364
55,1,1133,D69-77,380,26,54,16.328,7.612,0.466,0.481,0.487,0,3,0.268,0.693,0.307,0.43,36.5682,51.0804,0.3969,1,0,350.962,380.846,414.285,4322,0,360,734.748,329.384,895.757
56,1,1317,D10-18,460,33,66,10.78,4.68,0.434,0.5,0.507,0,3,0.057,0.693,0.307,0.284,93.3982,96.0137,0.028,0,0,357.873,385.311,415.322,4407,0,368,703.349,321.172,916.074
57,1,1285,D69-77,340,25,49,17.362,7.636,0.44,0.51,0.515,0,3,0.222,0.678,0.322,0.411,51.0804,44.6643,0.1256,0,0,363.796,384.441,439.655,4493,0,376,708.477,324.498,932.608
58,1,1097,D18-26,340,23,49,14.298,6.939,0.485,0.469,0.474,0,3,0.181,0.656,0.344,0.308,50.1234,51.3432,0.0243,0,0,333.304,365.752,376.815,4574,0,383,716.234,321.09,949.804
59,1,1386,D10-18,260,20,37,16.564,6.622,0.4,0.541,0.547,0,3,0.451,0.709,0.291,0.577,93.3982,37.2519,0.6011,1,0,360.224,393.996,406.699,4663,0,392,770.442,350.736,967.838
60,1,1026,D69-77,340,21,49,13.83,7.573,0.548,0.429,0.431,0,3,0.14,0.692,0.308,0.289,51.0804,50.1724,0.0178,0,0,329.273,346.196,408.555,4740,0,398,664.759,296.951,983.965
61,1,1266,D18-26,380,27,54,15.366,7.144,0.465,0.5,0.504,0,3,0.27,0.678,0.322,0.254,50.1234,55.644,0.1101,0,0,339.251,379.061,404.029,4825,0,406,709.687,323.391,1001.077
62,1,1122,D58-69,420,30,60,15.64,7.235,0.463,0.5,0.504,0,3,0.425,0.713,0.287,0.491,72.488,60.4233,0.1664,0,0,377.061,407.922,447.593,4910,0,414,720.421,327.147,1018.072
63,1,1120,D26-35,420,26,60,15.362,7.72,0.503,0.433,0.44,0,3,0.18,0.716,0.284,0.385,62.7137,56.1688,0.1044,0,0,334.425,349.914,370.384,4988,0,420,705.836,312.042,1034.036
64,1,1026,D58-69,260,17,37,11.59,5.829,0.503,0.459,0.463,0,3,0.311,0.675,0.325,0.495,72.488,47.7831,0.3408,1,0,310.016,340.542,343.544,5068,0,427,687.642,309.594,1052.615
65,1,1107,D94-105,300,20,43,13.29,6.371,0.479,0.465,0.471,0,3,0.454,0.678,0.322,0.611,50.2758,48.4546,0.0362,0,0,328.512,358.336,393.417,5149,0,434,694.935,312.995,1070.524
66,1,1237,D69-77,380,28,54,12.709,5.646,0.444,0.519,0.522,0,3,0.048,0.706,0.294,0.132,51.0804,68.9481,0.3498,1,0,340.865,388.003,374.38,5235,0,442,735.035,335.04,1089.695
67,1,1269,D94-105,420,33,60,14.625,6.102,0.417,0.55,0.553,0,3,0.164,0.662,0.338,0.238,50.2758,68.9964,0.3724,1,0,377.585,417.678,445.04,5325,0,451,763.871,349.855,1108.463
68,1,1377,D77-86,300,22,43,11.918,4.716,0.396,0.512,0.521,0,3,0.097,0.693,0.307,0.199,65.3204,57.5184,0.1194,0,0,342.557,358.562,390.161,5411,0,459,711.326,325.708,1128.802
69,1,1203,D35-47,300,24,43,13.254,4.632,0.349,0.558,0.567,0,3,0.032,0.714,0.286,0.102,33.1672,54.9538,0.6569,1,0,361.686,397.824,396.898,5501,0,469,733.031,340.282,1149.529
70,1,1354,D58-69,380,26,54,15.625,7.448,0.477,0.481,0.486,0,3,0.192,0.68,0.32,0.24,47.7831,53.3761,0.1171,0,0,364.191,379.956,405.318,5584,0,476,686.076,312.349,1166.136
71,1,1079,D10-18,300,20,43,14.412,6.879,0.477,0.465,0.471,0,3,0.234,0.687,0.313,0.265,37.2519,44.6827,0.1995,0,0,358.026,389.384,390.377,5665,0,483,702.214,315.542,1183.383
72,1,1288,D10-18,340,27,49,14.116,5.248,0.372,0.551,0.559,0,3,0.053,0.686,0.314,0.159,37.2519,57.9436,0.5555,1,0,365.257,380.348,410.961,5755,0,492,752.451,346.011,1203.267
73,1,1329,D86-94,380,25,54,14.999,7.828,0.522,0.463,0.464,0,3,0.492,0.653,0.347,0.52,58.0452,54.223,0.0658,0,0,321.334,355.842,370.626,5836,0,499,724.268,322.938,1219.269
74,1,1029,D77-86,220,15,31,14.784,6.46,0.437,0.484,0.492,0,3,0.494,0.695,0.305,0.594,65.3204,32.7662,0.4984,1,0,321.011,363.167,388.695,5919,0,507,716.757,323.446,1237.174
75,1,1097,D26-35,220,16,31,14.693,6.37,0.434,0.516,0.521,0,3,0.185,0.684,0.316,0.313,62.7137,34.4182,0.4512,1,0,377.651,404.476,451.766,6005,0,515,725.875,331.476,1255.389
76,1,1296,D94-105,380,24,54,13.372,6.45,0.482,0.444,0.452,0,3,0.427,0.651,0.349,0.625,68.9964,59.2924,0.1406,0,0,359.195,396.987,393.444,6084,0,522,672.621,302.084,1273.071
77,1,1308,D18-26,220,15,31,13.809,6.916,0.501,0.484,0.485,0,3,0.46,0.695,0.305,0.443,50.1234,35.0804,0.3001,1,0,341.612,382.837,402.862,6167,0,530,696.976,316.522,1290.383
78,1,1226,D69-77,260,18,37,14.972,7.314,0.489,0.486,0.489,0,3,0.017,0.654,0.346,0.092,68.9481,38.3726,0.4435,1,0,373.804,391.471,440.367,6250,0,538,710.409,321.616,1307.194
79,1,1322,D86-94,420,28,60,12.941,6.555,0.507,0.467,0.469,0,3,0.279,0.656,0.344,0.313,58.0452,69.8118,0.2027,1,0,357.281,395.191,391.839,6331,0,545,713.241,319.634,1324.872
80,1,1400,D58-69,460,32,66,14.717,7.226,0.491,0.485,0.487,0,3,0.45,0.695,0.305,0.537,47.7831,68.9121,0.4422,1,0,341.23,362.278,385.99,6414,0,553,705.841,319.772,1341.788
81,1,1185,D94-105,420,33,60,13.1,5.458,0.417,0.55,0.553,0,3,0.299,0.686,0.314,0.293,68.9964,77.0242,0.1164,0,0,379.275,402.537,432.501,6504,0,562,730.27,338.094,1361.393
82,1,1282,D26-35,380,25,54,15.921,7.667,0.482,0.463,0.469,0,3,0.075,0.66,0.34,0.138,34.4182,51.0839,0.4842,1,0,310.458,343.756,360.738,6585,0,569,721.695,322.038,1377.603
83,1,1275,D58-69,300,24,43,16.244,5.768,0.355,0.558,0.567,0,3,0.086,0.653,0.347,0.252,68.9121,44.8377,0.3493,1,0,368.47,391.268,419.181,6675,0,579,728.904,338.837,1396.854
84,1,1149,D86-94,260,20,37,14.131,5.664,0.401,0.541,0.546,0,3,0.287,0.674,0.326,0.421,69.8118,43.6678,0.3745,1,0,356.895,406.235,425.84,6764,0,588,771.767,351.2,1416.134
85,1,1281,D94-105,260,21,37,16.051,5.63,0.351,0.568,0.576,0,3,0.42,0.698,0.302,0.508,68.9964,39.8035,0.4231,1,0,361.77,407.892,441.267,6855,0,598,782.873,359.141,1435.619
86,1,1151,D18-26,340,27,49,12.914,4.633,0.359,0.551,0.56,0,3,0.09,0.677,0.323,0.361,35.0804,63.3387,0.8055,1,0,336.243,382.295,400.091,6945,0,607,727.434,337.255,1456.302
87,1,1379,D69-77,260,20,37,11.857,4.337,0.366,0.541,0.55,0,3,0.321,0.699,0.301,0.411,38.3726,52.0429,0.3563,1,0,358.72,392.067,430.5,7034,0,616,718.435,332.533,1477.308
88,1,1052,D69-77,340,23,49,12.198,6.021,0.494,0.469,0.473,0,3,0.123,0.681,0.319,0.298,52.0429,60.1838,0.1564,0,0,341.364,365.688,412.392,7115,0,623,723.953,323.792,1495.697
89,1,1049,D35-47,220,17,31,15.669,5.766,0.368,0.548,0.557,0,3,0.338,0.684,0.316,0.445,54.9538,33.6625,0.3874,1,0,382.583,430.98,447.46,7204,0,632,775.723,353.761,1514.891
90,1,1398,D58-69,460,37,66,17.376,6.34,0.365,0.561,0.568,0,3,0.229,0.679,0.321,0.432,44.8377,64.4747,0.438,1,0,361.393,403.085,439.198,7295,0,642,748.799,346.171,1533.413
91,1,1118,D10-18,300,22,43,14.878,6.1,0.41,0.512,0.519,0,3,0.12,0.687,0.313,0.154,57.9436,46.0736,0.2049,1,0,364.199,391.74,406.821,7381,0,650,710.339,325.363,1551.953
92,1,1003,D77-86,380,28,54,15.226,6.789,0.446,0.519,0.522,0,3,0.238,0.686,0.314,0.24,32.7662,57.5509,0.7564,1,0,336.859,365.851,411.232,7467,0,658,742.603,337.689,1569.638
93,1,1139,D35-47,220,16,31,14.642,5.857,0.4,0.516,0.525,0,3,0.341,0.694,0.306,0.478,33.6625,34.5387,0.026,0,0,375.274,409.91,411.264,7553,0,666,756.351,342.142,1588.521
94,1,1335,D58-69,340,27,49,14.727,5.577,0.379,0.551,0.558,0,3,0.27,0.702,0.298,0.304,64.4747,55.5405,0.1386,0,0,391.75,424.29,447.321,7643,0,675,735.461,340.065,1607.977
95,1,1351,D26-35,460,34,66,12.712,5.406,0.425,0.515,0.521,0,3,0.219,0.713,0.287,0.274,51.0839,83.0734,0.6262,1,0,362.863,396.918,434.147,7729,0,683,734.541,334.362,1627.439
96,1,1062,D26-35,220,17,31,12.132,4.847,0.4,0.548,0.554,0,3,0.013,0.689,0.311,0.198,83.0734,43.4759,0.4767,1,0,346.242,374.804,404.703,7818,0,692,729.663,337.64,1647.829
97,1,1375,D86-94,300,24,43,14.299,5.853,0.409,0.558,0.561,0,3,0.231,0.669,0.331,0.459,43.6678,50.9381,0.1665,0,0,342.229,386.286,417.124,7908,0,702,740.781,342.994,1666.968
98,1,1383,D69-77,260,18,37,14.268,6.197,0.434,0.486,0.494,0,3,0.328,0.711,0.289,0.491,52.0429,40.2651,0.2263,1,0,316.493,359.345,352.738,7991,0,710,699.404,317.764,1685.231
99,1,1299,D77-86,380,27,54,16.839,7.938,0.471,0.5,0.503,0,3,0.315,0.688,0.312,0.396,57.5509,50.7759,0.1177,0,0,379.132,426.909,457.606,8076,0,718,699.62,319.867,1701.312
100,1,1387,D58-69,220,17,31,13.043,5.296,0.406,0.548,0.553,0,3,0.052,0.689,0.311,0.23,64.4747,40.4379,0.3728,1,0,375.958,410.44,444.533,8165,0,727,747.12,343.75,1721.118
101,1,1216,D69-77,460,35,66,14.458,5.696,0.394,0.53,0.538,0,3,0.313,0.673,0.327,0.463,40.2651,74.5079,0.8504,1,0,342.056,369.793,373.55,8253,0,736,757.44,344.649,1740.294
102,1,1095,D26-35,340,28,49,14.059,5.38,0.383,0.571,0.576,0,3,0.009,0.686,0.314,0.233,43.4759,59.7191,0.3736,1,0,362.685,383.716,395.471,8345,0,746,748.251,347.602,1760.129
103,1,1390,D26-35,380,30,54,15.026,5.336,0.355,0.556,0.564,0,3,0.358,0.668,0.332,0.358,59.7191,61.1923,0.0247,0,0,390.884,407.087,458.705,8435,0,756,746.886,344.743,1779.925
104,1,1197,D86-94,260,21,37,15.531,6.179,0.398,0.568,0.571,0,3,0.317,0.72,0.28,0.465,43.6678,41.1352,0.058,0,0,389.078,428.266,423.975,8526,0,766,749.531,347.471,1798.698
105,1,1345,D47-58,420,32,60,14.883,6.097,0.41,0.533,0.539,0,3,0.298,0.677,0.323,0.355,61.4927,66.3466,0.0789,0,0,360.874,378.447,418.944,8614,0,775,743.172,340.11,1817.371
106,1,1116,D10-18,380,31,54,15.466,5.906,0.382,0.574,0.578,0,3,0.429,0.686,0.314,0.39,46.0736,60.8778,0.3213,1,0,386.87,423.05,448.44,8706,0,785,784.043,360.526,1836.538
107,1,1137,D86-94,460,35,66,14.96,5.987,0.4,0.53,0.537,0,3,0.447,0.676,0.324,0.501,43.6678,72.0101,0.649,1,0,336.973,369.06,372.611,8794,0,794,731.985,335.74,1855.337
108,1,1053,D86-94,220,15,31,12.292,5.854,0.476,0.484,0.488,0,3,0.198,0.691,0.309,0.215,72.0101,39.4073,0.4528,1,0,346.593,377.151,421.502,8877,0,802,691.487,314.601,1874.031
109,1,1226,D94-105,220,15,31,14.651,7.148,0.488,0.484,0.487,0,3,0.323,0.72,0.28,0.403,39.8035,33.0633,0.1693,0,0,325.655,362.814,398.931,8960,0,810,705.632,319.552,1891.042
110,1,1076,D26-35,380,28,54,14.547,6.297,0.433,0.519,0.523,0,3,0.492,0.704,0.296,0.523,59.7191,60.2359,0.0087,0,0,353.627,384.715,388.238,9046,0,818,703.582,324.031,1909.367
111,1,1291,D58-69,340,26,49,14.737,5.654,0.384,0.531,0.539,0,3,0.32,0.679,0.321,0.435,40.4379,54.0492,0.3366,1,0,379.638,413.172,432.903,9134,0,827,736.62,337.409,1928.6
112,1,1021,D10-18,260,22,37,13.867,4.982,0.359,0.595,0.599,0,3,0.411,0.726,0.274,0.529,60.8778,47.6743,0.2169,1,0,393.223,412.589,435.735,9228,0,838,799.656,369.069,1949.091
113,1,1044,D77-86,380,32,54,13.727,4.542,0.331,0.593,0.6,1,3,0.658,0.721,0.279,0.651,57.5509,70.2105,0.22,1,1,363.209,394.09,407.841,9362,0,853,800.759,369.154,1970.141
114,1,1355,D35-47,380,32,54,14.271,4.776,0.335,0.593,0.6,0,3,0.008,0.664,0.336,0.135,33.6625,67.5356,1.0063,1,0,364.857,398.947,424.056,9456,0,864,788.62,364.906,1990.888
115,1,1182,D18-26,300,21,43,15.306,7.502,0.49,0.488,0.491,0,3,0.398,0.713,0.287,0.506,63.3387,43.4202,0.3145,1,0,374.384,403.069,421.627,9539,0,872,732.837,329.749,2007.466
116,1,1107,D58-69,260,22,37,15.118,4.808,0.318,0.595,0.603,1,3,0.56,0.677,0.323,0.534,54.0492,43.7299,0.1909,0,0,349.964,388.313,413.859,9673,0,887,748.851,351.287,2028.183
117,1,1081,D35-47,340,27,49,13.824,5.372,0.389,0.551,0.557,0,3,0.03,0.677,0.323,0.222,67.5356,59.1691,0.1239,0,0,369.983,389.415,446.551,9763,0,896,747.935,344.43,2047.905
118,1,1005,D94-105,300,26,43,13.808,4.039,0.292,0.605,0.615,1,3,0.954,0.662,0.338,0.873,39.8035,55.9433,0.4055,1,1,391.191,407.025,442.535,9898,0,912,808.19,373.564,2069.682
119,1,1037,D18-26,380,33,54,13.703,4.348,0.317,0.611,0.618,1,3,0.76,0.67,0.33,0.765,43.4202,71.9798,0.6577,1,1,369.056,411.783,420.327,10034,0,928,767.557,360.312,2091.097
120,1,1203,D35-47,420,31,60,12.234,4.922,0.402,0.517,0.525,0,3,0.324,0.682,0.318,0.401,67.5356,78.9722,0.1693,0,0,362.488,383.784,413.64,10120,0,936,721.278,329.947,2111.197
121,1,1038,D58-69,460,35,66,15.285,6.481,0.424,0.53,0.535,0,3,0.086,0.666,0.334,0.179,54.0492,70.4771,0.3039,1,0,382.812,428.831,461.015,10208,0,945,747.378,341.128,2129.354
122,1,1244,D18-26,380,30,54,13.579,4.809,0.354,0.556,0.565,0,3,0.339,0.712,0.288,0.314,71.9798,67.7146,0.0593,0,0,382.911,408.223,456.965,10298,0,955,729.31,338.592,2149.835
